Name,E772
Comment,E772 data
Reference,Phys.Rev.D 50 (1994) 3-38 + Erratum D60 (1999) 119903
Process type,DY
Number of points,91
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.1
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E772.7Q8.0,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,0.125,0.0,0.25,1.68,0.12,25.464790894704002,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.1,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,0.375,0.25,0.5,1.16,0.051,8.488263631568001,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.2,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,0.625,0.5,0.75,0.97,0.0362,5.092958178940801,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.3,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,0.875,0.75,1.0,0.73,0.0278,3.637827270672,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.4,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,1.125,1.0,1.25,0.534,0.0224,2.829421210522667,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.5,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,1.375,1.25,1.5,0.357,0.0177,2.3149809904276366,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.6,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,1.625,1.5,1.75,0.222,0.014,1.958830068823385,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.7,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,1.875,1.75,2.0,0.13,0.00997,1.6976527263136003,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.8,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,2.125,2.0,2.25,0.0839,0.00893,1.497928876159059,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.9,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,2.375,2.25,2.5,0.0494,0.00709,1.3402521523528421,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.10,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,2.625,2.5,2.75,0.034,0.00679,1.212609090224,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.11,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,2.875,2.75,3.0,0.0295,0.0095,1.1071648215088696,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.12,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,3.125,3.0,3.25,0.00844,0.00317,1.0185916357881601,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.13,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,3.375,3.25,3.5,0.00573,0.00376,0.9431404035075557,False,0.0,0.0,-1000.0,1000.0
