0,1,2,3,4,5,6,7,8,9,10
8374.632171076853,-539.5023034277573,-592.3433814654019,-796.4830537736627,-942.7583137217637,-1208.7748370321578,-1554.2944484384689,-1961.7374306533136,-2665.529690726205,-3968.368536505315,-4828.118458310234
-539.5023034277568,6138.386074626583,-593.2431567296085,-797.6929191533897,-944.1903726209655,-1210.6109775756147,-1556.6554365777108,-1964.7173285811052,-2669.578655831194,-3974.3965262830884,-4835.452416445628
-592.343381465402,-593.2431567296079,7056.088427899823,-875.8222496923934,-1036.6682672380343,-1329.183203741966,-1709.1206825633426,-2157.1498372504016,-2931.0481865155916,-4363.665294300483,-5309.056545401749
-796.4830537736627,-797.6929191533894,-875.8222496923931,12429.90568259884,-1393.935904537878,-1787.2604476849326,-2298.136018922141,-2900.5697431278118,-3941.1771675042332,-5867.518010671983,-7138.720043562471
-942.758313721763,-944.1903726209661,-1036.668267238035,-1393.9359045378785,17353.550028836205,-2115.4934029768647,-2720.192008652528,-3433.263553954558,-4664.9800305366825,-6945.096143935216,-8449.756260995358
-1208.7748370321583,-1210.6109775756138,-1329.1832037419656,-1787.2604476849322,-2115.4934029768647,28744.183438684533,-3487.7439998111367,-4402.0217403722345,-5981.2895777172225,-8904.782209150148,-10834.009733655379
-1554.294448438468,-1556.6554365777115,-1709.1206825633424,-2298.1360189221396,-2720.192008652531,-3487.743999811137,48409.16952293915,-5660.308060155275,-7690.998273900558,-11450.15029119728,-13930.833656906203
-1961.7374306533138,-1964.7173285811048,-2157.149837250402,-2900.5697431278104,-3433.2635539545577,-4402.021740372233,-5660.308060155275,77853.77298044947,-9707.117726733642,-14451.694423417923,-17582.66450247811
-2665.5296907262045,-2669.5786558311947,-2931.0481865155903,-3941.1771675042323,-4664.980030536675,-5981.289577717221,-7690.998273900551,-9707.11772673364,150353.32869336253,-19636.37944864728,-23890.61529902354
-3968.368536505318,-3974.396526283086,-4363.665294300482,-5867.518010671987,-6945.096143935215,-8904.78220915015,-11450.150291197295,-14451.694423417925,-19636.379448647236,355945.26528873155,-35567.70213449323
-4828.118458310233,-4835.452416445629,-5309.056545401748,-7138.720043562466,-8449.756260995357,-10834.009733655377,-13930.833656906212,-17582.66450247813,-23890.615299023495,-35567.70213449322,554418.0058411914
