0,1,2,3,4,5,6,7,8,9,10,11,12
21014.572474187753,-1739.8833978933542,-2236.2579534646843,-2637.1561554727755,-4177.9934667696325,-4182.679331770713,-5377.314353338966,-6871.91687541726,-9956.978704034387,-14169.430344883274,-13886.235888008156,-16820.460724049724,-17275.919062819365
-1739.8833978933533,46407.55171912103,-4363.793565070942,-5146.099108785598,-8152.861335585489,-8162.00524830219,-10493.194551240651,-13409.73504160724,-19429.869228143056,-27649.971625108865,-27097.351053470094,-32823.14464456792,-33711.91785823117
-2236.2579534646857,-4363.793565070943,64531.010068560885,-6614.2392503274505,-10478.80623912666,-10490.558835630114,-13486.817450454517,-17235.423176608954,-24973.052590089104,-35538.28321747831,-34828.00449990929,-42187.32034457621,-43329.653313720766
-2637.156155472777,-5146.0991087856,-6614.239250327453,83136.87326163378,-12357.36169555261,-12371.221202307577,-15904.624778236906,-20325.250158172435,-29450.019062811523,-41909.298610522696,-41071.686880965055,-49750.321226239495,-51097.442391985
-4177.993466769633,-8152.861335585489,-10478.806239126652,-12357.361695552623,233617.48482141952,-19599.476978994764,-25197.377211431576,-32200.8851068886,-46657.072993316586,-66396.05903817664,-65069.04761850055,-78818.43349380868,-80952.6504675559
-4182.679331770715,-8162.0052483021955,-10490.558835630107,-12371.221202307568,-19599.47697899476,210878.58323821705,-25225.637549541992,-32237.00029034356,-46709.40164034087,-66470.52611710614,-65142.02637620199,-78906.83299512102,-81043.44361852364
-5377.3143533389675,-10493.194551240658,-13486.817450454517,-15904.624778236906,-25197.377211431565,-25225.637549542007,368426.258588054,-41444.3639160047,-60050.29693972457,-85455.49056283743,-83747.55166565542,-101443.79044748748,-104190.64863607718
-6871.916875417256,-13409.73504160724,-17235.423176608965,-20325.250158172435,-32200.885106888578,-32237.000290343578,-41444.36391600471,616801.7928520859,-76741.031265482,-109207.49450535332,-107024.84098009701,-129639.67692339176,-133150.01310614197
-9956.978704034398,-19429.869228143056,-24973.052590089108,-29450.019062811523,-46657.072993316644,-46709.40164034087,-60050.29693972453,-76741.03126548191,1566296.3030550617,-158234.8443417006,-155072.31559415298,-187839.80157584944,-192926.05963881867
-14169.43034488327,-27649.97162510887,-35538.28321747829,-41909.29861052268,-66396.05903817665,-66470.52611710616,-85455.4905628375,-109207.49450535327,-158234.84434170063,4081583.5394646535,-220678.02287663872,-267308.2933628525,-274546.37044241297
-13886.235888008157,-27097.351053470105,-34828.00449990929,-41071.686880965055,-65069.047618500575,-65142.02637620197,-83747.55166565532,-107024.84098009695,-155072.31559415298,-220678.0228766388,3877797.7568667377,-261965.7901630362,-269059.2048773868
-16820.460724049728,-32823.14464456788,-42187.320344576205,-49750.32122623949,-78818.43349380873,-78906.83299512102,-101443.79044748748,-129639.67692339189,-187839.80157584947,-267308.29336285236,-261965.7901630364,6975561.793256981,-325912.6392914322
-17275.919062819365,-33711.91785823114,-43329.65331372075,-51097.44239198501,-80952.65046755593,-81043.44361852361,-104190.64863607715,-133150.01310614203,-192926.0596388188,-274546.37044241274,-269059.204877387,-325912.6392914323,7155618.582827302
