qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.4329,0.131025,5e-06,0.025,2.0
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.1818,0.145248,7e-06,0.025,2.0
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.0824,0.142198,8e-06,0.025,2.0
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.3632,0.128536,8e-06,0.025,2.0
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.0324,0.114035,8e-06,0.025,2.0
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.4913,0.10011,7e-06,0.025,2.0
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.0534,0.084486,7e-06,0.025,2.0
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.5501,0.072391,7e-06,0.025,2.0
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.0142,0.064384,6e-06,0.025,2.0
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.4894,0.056446,5e-06,0.025,2.0
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.0296,0.049955,5e-06,0.025,2.0
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.7821,0.048084,5e-06,0.025,2.0
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,0.6,0.4,0.8,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.4376,0.045188,4e-06,0.025,2.0
