qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0508,0.010283,0.00254,0.15,16.6666666667
True,0.3,0.2,0.4,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0679,0.011756,0.003395,0.15,16.6666666667
True,0.5,0.4,0.6,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0646,0.010923,0.00323,0.15,16.6666666667
True,0.7,0.6,0.8,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0492,0.008212,0.00246,0.15,16.6666666667
True,0.9,0.8,1.0,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0417,0.006948,0.002085,0.15,16.6666666667
True,1.1,1.0,1.2,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0323,0.005402,0.001615,0.15,16.6666666667
True,1.3,1.2,1.4,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0247,0.004169,0.001235,0.15,16.6666666667
True,1.5,1.4,1.6,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0194,0.00329,0.00097,0.15,16.6666666667
True,1.7,1.6,1.8,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0137,0.002376,0.000685,0.15,16.6666666667
True,1.9,1.8,2.0,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00866,0.001552,0.000433,0.15,16.6666666667
True,2.1,2.0,2.2,True,12.5,11.5,13.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00679,0.001248,0.00034,0.15,16.6666666667
