qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.024189,4.4e-05,3.5e-05,0.0,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.051144,4e-05,2.8e-05,0.0,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.053232,4e-05,2.7e-05,0.0,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.047384,3.8e-05,2.2e-05,0.0,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.040568,3.7e-05,1.7e-05,0.0,1.0
True,11.0,10.0,12.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.034316,3.7e-05,2.1e-05,0.0,1.0
True,13.0,12.0,14.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.029157,3.6e-05,2.1e-05,0.0,1.0
True,15.0,14.0,16.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.024804,3.4e-05,1.5e-05,0.0,1.0
True,17.0,16.0,18.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.021268,3.1e-05,1e-05,0.0,1.0
True,19.0,18.0,20.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.018325,2.9e-05,6e-06,0.0,1.0
True,21.25,20.0,22.5,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.015604,2.1e-05,4e-06,0.0,0.8
True,23.75,22.5,25.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.01318,2e-05,4e-06,0.0,0.8
True,26.25,25.0,27.5,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.011207,1.9e-05,5e-06,0.0,0.8
True,28.75,27.5,30.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.009557,1.8e-05,5e-06,0.0,0.8
True,31.5,30.0,33.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.008103,1.4e-05,5e-06,0.0,0.6666666667
True,34.5,33.0,36.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.006788,1.3e-05,5e-06,0.0,0.6666666667
True,37.5,36.0,39.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.005756,1.2e-05,5e-06,0.0,0.6666666667
True,40.5,39.0,42.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.004877,1.1e-05,6e-06,0.0,0.6666666667
True,43.5,42.0,45.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.004169,1.1e-05,5e-06,0.0,0.6666666667
True,46.5,45.0,48.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.003521,1e-05,5e-06,0.0,0.6666666667
True,49.5,48.0,51.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.002975,9e-06,5e-06,0.0,0.6666666667
True,52.5,51.0,54.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.002543,9e-06,5e-06,0.0,0.6666666667
True,55.5,54.0,57.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.002183,8e-06,4e-06,0.0,0.6666666667
True,59.0,57.0,61.0,True,91.0,66.0,116.0,True,0.0,0,2.5,13000.0,1,1/σ*dσ/dqT,True,27.0,27.0,-2.5,2.5,0.001877,6e-06,3e-06,0.0,0.5
