qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02861,0.000106,9.7e-05,0.000103,0.0,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05874,0.000135,0.000182,0.0002,0.0,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05834,0.000134,0.000134,0.000204,0.0,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04972,0.000129,0.000109,0.000169,0.0,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04106,0.000115,9.9e-05,0.00014,0.0,1.0
True,11.0,10.0,12.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03385,0.000105,8.8e-05,0.000118,0.0,1.0
True,13.0,12.0,14.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02819,9.9e-05,7.6e-05,9.6e-05,0.0,1.0
True,15.0,14.0,16.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02375,8.8e-05,6.4e-05,8.3e-05,0.0,1.0
True,17.0,16.0,18.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01997,8.4e-05,5.8e-05,7e-05,0.0,1.0
True,20.0,18.0,22.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01587,5.6e-05,4.3e-05,5.4e-05,0.0,0.5
True,24.0,22.0,26.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01187,4.9e-05,3.4e-05,4.2e-05,0.0,0.5
True,28.0,26.0,30.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.009065,4.2e-05,2.8e-05,3.2e-05,0.0,0.5
True,32.0,30.0,34.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.007143,3.8e-05,2.5e-05,2.5e-05,0.0,0.5
True,36.0,34.0,38.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.005707,3.4e-05,2.2e-05,1.9e-05,0.0,0.5
True,40.0,38.0,42.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.004559,3e-05,2e-05,1.6e-05,0.0,0.5
True,44.0,42.0,46.0,True,91.0,66.0,116.0,True,0.5,0.0,1.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.003757,2.7e-05,1.8e-05,1.3e-05,0.0,0.5
