qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.4144,0.050662,5e-06,0.025,2.0
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.1788,0.060208,7e-06,0.025,2.0
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.201,0.067081,8e-06,0.025,2.0
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.3718,0.067302,8e-06,0.025,2.0
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.0368,0.063845,8e-06,0.025,2.0
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.5933,0.060664,8e-06,0.025,2.0
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.0989,0.057387,7e-06,0.025,2.0
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.6078,0.053784,7e-06,0.025,2.0
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.0727,0.048709,6e-06,0.025,2.0
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.53,0.043159,6e-06,0.025,2.0
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.0928,0.039207,5e-06,0.025,2.0
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.7779,0.037112,5e-06,0.025,2.0
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.4556,0.035368,4e-06,0.025,2.0
True,15.0,14.0,16.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.8433,0.030936,4e-06,0.025,1.0
True,17.0,16.0,18.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.3558,0.027105,3e-06,0.025,1.0
True,19.0,18.0,20.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.8672,0.023246,3e-06,0.025,1.0
True,21.0,20.0,22.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.5168,0.020454,3e-06,0.025,1.0
True,23.5,22.0,25.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.1137,0.017121,2e-06,0.025,0.6666666667
True,26.5,25.0,28.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.7605,0.014768,2e-06,0.025,0.6666666667
True,30.0,28.0,32.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.3987,0.012772,1e-06,0.025,0.5
True,34.5,32.0,37.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.1064,0.010921,1e-06,0.025,0.4
True,40.0,37.0,43.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.83334,0.008606,1e-06,0.025,0.3333333333
True,47.5,43.0,52.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.57792,0.00619,1e-06,0.025,0.2222222222
True,58.5,52.0,65.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.35227,0.003918,0.0,0.025,0.1538461538
True,75.0,65.0,85.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.18272,0.002167,0.0,0.025,0.1
True,102.5,85.0,120.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.078168,0.001058,0.0,0.025,0.0571428571
True,140.0,120.0,160.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.028969,0.000465,0.0,0.025,0.05
True,175.0,160.0,190.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.012585,0.000237,0.0,0.025,0.0666666667
True,205.0,190.0,220.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.006698,0.000148,0.0,0.025,0.0666666667
True,235.0,220.0,250.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.003762,9.6e-05,0.0,0.025,0.0666666667
True,275.0,250.0,300.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.001978,5.6e-05,0.0,0.025,0.04
True,350.0,300.0,400.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.000679,2.1e-05,0.0,0.025,0.02
True,950.0,400.0,1500.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.8e-05,1e-06,0.0,0.025,0.0018181818
