qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0344,0.001563,0.012,1.0
True,3.0,2.0,4.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0781,0.002232,0.012,1.0
True,5.0,4.0,6.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0902,0.002381,0.012,1.0
True,7.0,6.0,8.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0871,0.0023,0.012,1.0
True,9.0,8.0,10.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0827,0.002364,0.012,1.0
True,11.0,10.0,12.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0758,0.002167,0.012,1.0
True,13.0,12.0,14.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0653,0.001937,0.012,1.0
True,16.0,14.0,18.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0548,0.001626,0.012,0.5
True,20.0,18.0,22.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0465,0.001329,0.012,0.5
True,25.0,22.0,28.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0353,0.001085,0.012,0.3333333333
True,40.0,28.0,52.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.02053,0.000609,0.012,0.0833333333
True,106.0,52.0,160.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00437,0.000217,0.012,0.0185185185
True,580.0,160.0,1000.0,True,260.0,170.0,350.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.000102,5e-06,0.012,0.0023809524
