qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 ,bin_integrate_factor
True,1.25,0.0,2.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0532,0.0013,0.0024,0.0,0.4
True,3.75,2.5,5.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0808,0.0012,0.0019,0.0,0.4
True,6.25,5.0,7.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0633,0.0011,0.0014,0.0,0.4
True,8.75,7.5,10.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0443,0.0009,0.0011,0.0,0.4
True,11.25,10.0,12.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0315,0.0008,0.0008,0.0,0.4
True,13.75,12.5,15.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0246,0.0007,0.0006,0.0,0.4
True,16.25,15.0,17.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0186,0.0006,0.0005,0.0,0.4
True,18.75,17.5,20.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0142,0.0005,0.0005,0.0,0.4
True,21.25,20.0,22.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0109,0.0004,0.0003,0.0,0.4
True,23.75,22.5,25.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0094,0.0004,0.0002,0.0,0.4
True,26.25,25.0,27.5,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0069,0.0003,0.0002,0.0,0.4
True,28.75,27.5,30.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0055,0.0003,0.0001,0.0,0.4
True,35.0,30.0,40.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0039,0.0001,0.0001,0.0,0.1
True,45.0,40.0,50.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0021,7e-05,6e-05,0.0,0.1
True,55.0,50.0,60.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0011,5e-05,3e-05,0.0,0.1
True,65.0,60.0,70.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.00073,4e-05,2e-05,0.0,0.1
True,75.0,70.0,80.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.00042,3e-05,2e-05,0.0,0.1
True,85.0,80.0,90.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.00025,2e-05,1e-05,0.0,0.1
True,95.0,90.0,100.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.00016,1.7e-05,8e-06,0.0,0.1
True,120.0,100.0,140.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,6e-05,5e-06,3e-06,0.0,0.025
True,160.0,140.0,180.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1.1e-05,2e-06,1e-06,0.0,0.025
True,200.0,180.0,220.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,3e-06,1e-06,0.0,0.0,0.025
True,240.0,220.0,260.0,True,91.0,70.0,110.0,True,0.0,-3.5,3.5,1960.0,-1,1/σ*dσ/dqT,False,0.0,0.0,-1000.0,1000.0,1e-06,1e-06,0.0,0.0,0.025
