qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.57,0.16,0.25,8.3333333333
True,0.3,0.2,0.4,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.3,0.1,0.25,8.3333333333
True,0.5,0.4,0.6,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.07,0.1,0.25,8.3333333333
True,0.7,0.6,0.8,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.82,0.11,0.25,8.3333333333
True,0.9,0.8,1.0,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.13,0.08,0.25,8.3333333333
True,1.1,1.0,1.2,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.872,0.073,0.25,8.3333333333
True,1.3,1.2,1.4,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.635,0.061,0.25,8.3333333333
True,1.5,1.4,1.6,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.384,0.042,0.25,8.3333333333
True,1.7,1.6,1.8,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.26,0.038,0.25,8.3333333333
True,1.9,1.8,2.0,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.124,0.025,0.25,8.3333333333
True,2.1,2.0,2.2,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.103,0.022,0.25,8.3333333333
True,2.3,2.2,2.4,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.079,0.023,0.25,8.3333333333
True,2.5,2.4,2.6,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.032,0.013,0.25,8.3333333333
True,2.7,2.6,2.8,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.014,0.012,0.25,8.3333333333
True,2.9,2.8,3.0,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0066,0.0115,0.25,8.3333333333
True,3.1,3.0,3.2,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0055,0.0096,0.25,8.3333333333
True,3.9,3.8,4.0,True,5.5,5.0,6.0,True,0.21,-0.09,0.51,23.73,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0133,0.0138,0.25,8.3333333333
