qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.125,0.0,0.25,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,6.75,0.305,0.1,20.0
True,0.375,0.25,0.5,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,5.59,0.156,0.1,20.0
True,0.625,0.5,0.75,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,4.84,0.122,0.1,20.0
True,0.875,0.75,1.0,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,3.5,0.0903,0.1,20.0
True,1.125,1.0,1.25,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,2.56,0.0768,0.1,20.0
True,1.375,1.25,1.5,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,1.78,0.0672,0.1,20.0
True,1.625,1.5,1.75,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,1.12,0.0535,0.1,20.0
True,1.875,1.75,2.0,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.817,0.0627,0.1,20.0
True,2.125,2.0,2.25,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.259,0.0298,0.1,20.0
True,2.375,2.25,2.5,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.346,0.0575,0.1,20.0
True,2.625,2.5,2.75,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.147,0.0345,0.1,20.0
True,2.875,2.75,3.0,True,5.5,5.0,6.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0457,0.0154,0.1,20.0
