qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.1,0.0,2.2,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,5.55,0.11,0.15,0.22,0.0,0.4545454545
True,2.8,2.2,3.4,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,11.01,0.21,0.29,0.43,0.0,0.8333333333
True,4.0,3.4,4.6,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,11.36,0.21,0.3,0.44,0.0,0.8333333333
True,5.2,4.6,5.8,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,11.06,0.21,0.29,0.43,0.0,0.8333333333
True,6.5,5.8,7.2,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,9.93,0.18,0.26,0.39,0.0,0.7142857143
True,7.95,7.2,8.7,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,8.86,0.16,0.23,0.35,0.0,0.6666666667
True,9.6,8.7,10.5,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,7.22,0.13,0.19,0.28,0.0,0.5555555556
True,11.65,10.5,12.8,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,6.48,0.11,0.18,0.25,0.0,0.4347826087
True,14.1,12.8,15.4,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,5.28,0.09,0.14,0.21,0.0,0.3846153846
True,17.2,15.4,19.0,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,4.29,0.07,0.12,0.17,0.0,0.2777777778
True,21.75,19.0,24.5,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,2.88,0.05,0.08,0.11,0.0,0.1818181818
True,29.25,24.5,34.0,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,1.76,0.029,0.046,0.069,0.0,0.1052631579
True,48.5,34.0,63.0,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,0.709,0.011,0.018,0.028,0.0,0.0344827586
True,166.5,63.0,270.0,True,91.0,60.0,120.0,True,3.25,2.0,4.5,13000.0,1,dσ/dqT,True,20.0,20.0,2.0,4.5,0.0376,0.0009,0.001,0.0015,0.0,0.0048309179
