0,1,2,3,4,5,6,7,8,9
1.4958100711856935e-06,2.9412843978724572e-06,2.814007675071161e-06,2.3384846545984374e-06,1.9039898871699374e-06,1.5286937508322896e-06,1.2407450813704662e-06,9.54351631487468e-07,6.726515935736264e-07,4.734997228011595e-07
2.9412843978724572e-06,5.84083522356067e-06,5.659304951004966e-06,4.750335163701868e-06,3.896221097258738e-06,3.151000477107971e-06,2.573213529919833e-06,1.991245509359814e-06,1.4168788873005933e-06,1.0049095316592674e-06
2.814007675071161e-06,5.659304951004966e-06,5.5735989503967325e-06,4.740136025201877e-06,3.925867203230894e-06,3.2051800254081865e-06,2.6386341636664243e-06,2.0585306314470285e-06,1.483005872726216e-06,1.0624496320263447e-06
2.3384846545984374e-06,4.750335163701868e-06,4.740136025201877e-06,4.075431288136075e-06,3.403356161741907e-06,2.800705666333555e-06,2.3214277803262406e-06,1.8239591049621321e-06,1.3278104078704885e-06,9.596527498878514e-07
1.9039898871699374e-06,3.896221097258738e-06,3.925867203230894e-06,3.403356161741907e-06,2.860251538566758e-06,2.3680180793757587e-06,1.973043505795892e-06,1.5588155986810656e-06,1.143823888588615e-06,8.323043108226809e-07
1.5286937508322896e-06,3.151000477107971e-06,3.2051800254081865e-06,2.800705666333555e-06,2.3680180793757587e-06,1.9716244217579122e-06,1.65074484773993e-06,1.3108409638820347e-06,9.688351515869912e-07,7.092935578706919e-07
1.2407450813704662e-06,2.573213529919833e-06,2.6386341636664243e-06,2.3214277803262406e-06,1.973043505795892e-06,1.65074484773993e-06,1.3878343483519377e-06,1.1069140052840803e-06,8.231380218374503e-07,6.057749202378342e-07
9.54351631487468e-07,1.991245509359814e-06,2.0585306314470285e-06,1.8239591049621321e-06,1.5588155986810656e-06,1.3108409638820347e-06,1.1069140052840803e-06,8.870400366051062e-07,6.639145027683294e-07,4.913407234306029e-07
6.726515935736264e-07,1.4168788873005933e-06,1.483005872726216e-06,1.3278104078704885e-06,1.143823888588615e-06,9.688351515869912e-07,8.231380218374503e-07,6.639145027683294e-07,5.012925582294383e-07,3.737536448412428e-07
4.734997228011595e-07,1.0049095316592674e-06,1.0624496320263447e-06,9.596527498878514e-07,8.323043108226809e-07,7.092935578706919e-07,6.057749202378342e-07,4.913407234306029e-07,3.737536448412428e-07,2.8045041844975e-07
