0,1,2,3,4,5,6,7,8,9,10,11
1.0119817796297297e-06,9.607277183199709e-07,8.671745838284322e-07,7.468762863329981e-07,6.169213858005881e-07,4.877559246070846e-07,3.70820837013341e-07,2.808444129996715e-07,2.0648629272539853e-07,1.4858518042136125e-07,1.0324949205138471e-07,6.7500987913312e-08
9.607277183199709e-07,9.120770254172124e-07,8.232753401454047e-07,7.090857415328098e-07,5.857281360443684e-07,4.6312053619998746e-07,3.521247673436462e-07,2.6671032522472377e-07,1.9612090942956106e-07,1.4115195229262548e-07,9.810971551751862e-08,6.416734245512236e-08
8.671745838284322e-07,8.232753401454047e-07,7.431456362715287e-07,6.401052527507325e-07,5.287887599498215e-07,4.18150171704103e-07,3.179943238571888e-07,2.409065659492078e-07,1.771959721916218e-07,1.275790699458924e-07,8.872321236957728e-08,5.807781502056356e-08
7.468762863329981e-07,7.090857415328098e-07,6.401052527507325e-07,5.513992354602916e-07,4.5556426461155233e-07,3.6031389012279464e-07,2.7409430425026185e-07,2.0771313717422488e-07,1.5284755601925594e-07,1.10112864611142e-07,7.66406420046616e-08,5.023545507451457e-08
6.169213858005881e-07,5.857281360443684e-07,5.287887599498215e-07,4.5556426461155233e-07,3.7645146822522637e-07,2.978201498529459e-07,2.2665120697869913e-07,1.7183562857793048e-07,1.265246380036464e-07,9.122487148254388e-08,6.356926977299204e-08,4.174584604786954e-08
4.877559246070846e-07,4.6312053619998746e-07,4.18150171704103e-07,3.6031389012279464e-07,2.978201498529459e-07,2.3571062579122849e-07,1.7950245395778403e-07,1.3618159568829483e-07,1.0036732988013235e-07,7.245721085449476e-08,5.0582602638501306e-08,3.33127185166229e-08
3.70820837013341e-07,3.521247673436462e-07,3.179943238571888e-07,2.7409430425026185e-07,2.2665120697869913e-07,1.7950245395778403e-07,1.3684475016158395e-07,1.0393133063887006e-07,7.671492268993206e-08,5.549423699069324e-08,3.8851880893429294e-08,2.5702555278794432e-08
2.808444129996715e-07,2.6671032522472377e-07,2.409065659492078e-07,2.0771313717422488e-07,1.7183562857793048e-07,1.3618159568829483e-07,1.0393133063887006e-07,7.902223421273919e-08,5.841943401811274e-08,4.2347093843752404e-08,2.973449326280953e-08,1.976122259156516e-08
2.0648629272539853e-07,1.9612090942956106e-07,1.771959721916218e-07,1.5284755601925594e-07,1.265246380036464e-07,1.0036732988013235e-07,7.671492268993206e-08,5.841943401811274e-08,4.328159934275099e-08,3.1463881144333185e-08,2.2181881773872192e-08,1.4834063999040535e-08
1.4858518042136125e-07,1.4115195229262548e-07,1.275790699458924e-07,1.10112864611142e-07,9.122487148254388e-08,7.245721085449476e-08,5.549423699069324e-08,4.2347093843752404e-08,3.1463881144333185e-08,2.29593155268581e-08,1.6271716767015284e-08,1.0969782038292024e-08
1.0324949205138471e-07,9.810971551751862e-08,8.872321236957728e-08,7.66406420046616e-08,6.356926977299204e-08,5.0582602638501306e-08,3.8851880893429294e-08,2.973449326280953e-08,2.2181881773872192e-08,1.6271716767015284e-08,1.1616513072739599e-08,7.918017253168889e-09
6.7500987913312e-08,6.416734245512236e-08,5.807781502056356e-08,5.023545507451457e-08,4.174584604786954e-08,3.33127185166229e-08,2.5702555278794432e-08,1.976122259156516e-08,1.4834063999040535e-08,1.0969782038292024e-08,7.918017253168889e-09,5.485260238109197e-09
