0,1,2,3,4,5,6,7,8,9
3.8677234247475454e-07,8.348805030873975e-07,8.856767101914504e-07,7.801071104199672e-07,6.564658962049677e-07,5.476191268955938e-07,4.560307607581782e-07,3.548435403569605e-07,2.5939549358991897e-07,1.8647533863368694e-07
8.348805030873975e-07,1.8131604923456776e-06,1.936370851030563e-06,1.7150705075136138e-06,1.4490227221978098e-06,1.2125899892684491e-06,1.0127492534735445e-06,7.907001567471669e-07,5.803535800712435e-07,4.1870462014757827e-07
8.856767101914504e-07,1.936370851030563e-06,2.083161165948973e-06,1.8563703689698921e-06,1.5753230136810421e-06,1.3228854517916452e-06,1.108434298101882e-06,8.686388841029244e-07,6.404082926818293e-07,4.6386688441207397e-07
7.801071104199672e-07,1.7150705075136138e-06,1.8563703689698921e-06,1.6626986117316477e-06,1.4161878870512418e-06,1.1927371336675066e-06,1.0020875310189622e-06,7.877679691902055e-07,5.829697636511631e-07,4.236787601879128e-07
6.564658962049677e-07,1.4490227221978098e-06,1.5753230136810421e-06,1.4161878870512418e-06,1.2094909021363237e-06,1.0208503668805397e-06,8.593824865392926e-07,6.771576514655899e-07,5.025131357139245e-07,3.6612112507603153e-07
5.476191268955938e-07,1.2125899892684491e-06,1.3228854517916452e-06,1.1927371336675066e-06,1.0208503668805397e-06,8.63114008811793e-07,7.277479286310531e-07,5.745028187251015e-07,4.2728419863902233e-07,3.1193547155045607e-07
4.560307607581782e-07,1.0127492534735445e-06,1.108434298101882e-06,1.0020875310189622e-06,8.593824865392926e-07,7.277479286310531e-07,6.145085901418855e-07,4.859407236478473e-07,3.621569493382166e-07,2.648774589315234e-07
3.548435403569605e-07,7.907001567471669e-07,8.686388841029244e-07,7.877679691902055e-07,6.771576514655899e-07,5.745028187251015e-07,4.859407236478473e-07,3.850506054772119e-07,2.876609504831581e-07,2.1085282799692665e-07
2.5939549358991897e-07,5.803535800712435e-07,6.404082926818293e-07,5.829697636511631e-07,5.025131357139245e-07,4.2728419863902233e-07,3.621569493382166e-07,2.876609504831581e-07,2.1552441887220004e-07,1.58389751477687e-07
1.8647533863368694e-07,4.1870462014757827e-07,4.6386688441207397e-07,4.236787601879128e-07,3.6612112507603153e-07,3.1193547155045607e-07,2.648774589315234e-07,2.1085282799692665e-07,1.58389751477687e-07,1.1667737004583925e-07
