0,1,2,3,4,5,6,7,8,9,10
2.1793201564763688e-09,5.0240038716917424e-09,5.735295025951936e-09,5.413711218825859e-09,4.827421436587989e-09,4.230677358192704e-09,3.6888960423710538e-09,3.056040285962859e-09,2.4129721048784354e-09,1.872900821132359e-09,1.0144561401653826e-09
5.0240038716917424e-09,1.1604471675631887e-08,1.3277245964520643e-08,1.2556166818672982e-08,1.1211598352332763e-08,9.836098580340287e-09,8.584381002606056e-09,7.1187639793289045e-09,5.626922059093378e-09,4.372037214762802e-09,2.3733942723284535e-09
5.735295025951936e-09,1.3277245964520643e-08,1.523126405610187e-08,1.4436168799074474e-08,1.2911699324422402e-08,1.1342575347270152e-08,9.910573348985598e-09,8.229048151918852e-09,6.513787472638019e-09,5.068093725303808e-09,2.759568433118206e-09
5.413711218825859e-09,1.2556166818672982e-08,1.4436168799074474e-08,1.3708848126083903e-08,1.227915523428769e-08,1.0799695910356888e-08,9.446094824251183e-09,7.852658062585692e-09,6.2241682440597305e-09,4.8491222690641046e-09,2.648077427751327e-09
4.827421436587989e-09,1.1211598352332763e-08,1.2911699324422402e-08,1.227915523428769e-08,1.1011198516241832e-08,9.693685437340001e-09,8.48584959165195e-09,7.061259392899492e-09,5.603145258357157e-09,4.370162419841822e-09,2.3925331498383838e-09
4.230677358192704e-09,9.836098580340287e-09,1.1342575347270152e-08,1.0799695910356888e-08,9.693685437340001e-09,8.540576632558786e-09,7.481711380335739e-09,6.2308576889053075e-09,4.948972380291811e-09,3.863676300319482e-09,2.1199105004058534e-09
3.6888960423710538e-09,8.584381002606056e-09,9.910573348985598e-09,9.446094824251183e-09,8.48584959165195e-09,7.481711380335739e-09,6.558291342215772e-09,5.465907819762577e-09,4.3451783357212306e-09,3.395284500821995e-09,1.8666636265722422e-09
3.056040285962859e-09,7.1187639793289045e-09,8.229048151918852e-09,7.852658062585692e-09,7.061259392899492e-09,6.2308576889053075e-09,5.465907819762577e-09,4.559540490312633e-09,3.6284493531581334e-09,2.8382652556779932e-09,1.5642520364355394e-09
2.4129721048784354e-09,5.626922059093378e-09,6.513787472638019e-09,6.2241682440597305e-09,5.603145258357157e-09,4.948972380291811e-09,4.3451783357212306e-09,3.6284493531581334e-09,2.8910679542583384e-09,2.264335315845701e-09,1.2515917738068552e-09
1.872900821132359e-09,4.372037214762802e-09,5.068093725303808e-09,4.8491222690641046e-09,4.370162419841822e-09,3.863676300319482e-09,3.395284500821995e-09,2.8382652556779932e-09,2.264335315845701e-09,1.775792773576396e-09,9.845251758065365e-10
1.0144561401653826e-09,2.3733942723284535e-09,2.759568433118206e-09,2.648077427751327e-09,2.3925331498383838e-09,2.1199105004058534e-09,1.8666636265722422e-09,1.5642520364355394e-09,1.2515917738068552e-09,9.845251758065365e-10,5.496521106082932e-10
