0,1,2,3,4,5,6,7,8,9
1.0510206068560815e-05,9.966728130091205e-06,8.961311772354855e-06,7.63897565703015e-06,6.1718198572923325e-06,4.723411545264066e-06,3.4195830256374507e-06,2.33351405355189e-06,1.491808660259026e-06,8.793431316703919e-07
9.966728130091205e-06,9.45138489892171e-06,8.498015287673023e-06,7.2441282178829175e-06,5.852911893898873e-06,4.479464380981926e-06,3.2431013544895215e-06,2.213217841711101e-06,1.415039475131644e-06,8.342290484105939e-07
8.961311772354855e-06,8.498015287673023e-06,7.640927677563863e-06,6.513665619327496e-06,5.262931266490573e-06,4.028155654649186e-06,2.9165993882262358e-06,1.990655903823462e-06,1.2730009728154052e-06,7.507521855697772e-07
7.63897565703015e-06,7.2441282178829175e-06,6.513665619327496e-06,5.552934482658713e-06,4.486955692185235e-06,3.4345560337465344e-06,2.4871422177068537e-06,1.697899173190426e-06,1.0861493598349944e-06,6.409232439844421e-07
6.1718198572923325e-06,5.852911893898873e-06,5.262931266490573e-06,4.486955692185235e-06,3.625952680431667e-06,2.775890327682099e-06,2.010587024369366e-06,1.3730108176376186e-06,8.787641172057004e-07,5.18998917920394e-07
4.723411545264066e-06,4.479464380981926e-06,4.028155654649186e-06,3.4345560337465344e-06,2.775890327682099e-06,2.125562957946695e-06,1.5400313165362286e-06,1.0521773075809335e-06,6.739315271062448e-07,3.985392195311273e-07
3.4195830256374507e-06,3.2431013544895215e-06,2.9165993882262358e-06,2.4871422177068537e-06,2.010587024369366e-06,1.5400313165362286e-06,1.1163084539902464e-06,7.632212242945824e-07,4.893960366599179e-07,2.8996063941147106e-07
2.33351405355189e-06,2.213217841711101e-06,1.990655903823462e-06,1.697899173190426e-06,1.3730108176376186e-06,1.0521773075809335e-06,7.632212242945824e-07,5.223828693263623e-07,3.35537344692932e-07,1.993787729587266e-07
1.491808660259026e-06,1.415039475131644e-06,1.2730009728154052e-06,1.0861493598349944e-06,8.787641172057004e-07,6.739315271062448e-07,4.893960366599179e-07,3.35537344692932e-07,2.160997255591242e-07,1.289888761160826e-07
8.793431316703919e-07,8.342290484105939e-07,7.507521855697772e-07,6.409232439844421e-07,5.18998917920394e-07,3.985392195311273e-07,2.8996063941147106e-07,1.993787729587266e-07,1.289888761160826e-07,7.757581333095118e-08
