0,1,2,3,4,5,6,7,8,9,10,11
1.9339939345121105e-06,1.8365393802506864e-06,1.655796775676236e-06,1.417097331384924e-06,1.1507393892164028e-06,8.858570714220562e-07,6.453645323928065e-07,4.4293774549892336e-07,2.844517331577437e-07,1.678380582075318e-07,8.691800607896171e-08,3.380015756765561e-08
1.8365393802506864e-06,1.7440013610459993e-06,1.5723768491085165e-06,1.345718657097855e-06,1.092796095554086e-06,8.412731305839069e-07,6.129074399541916e-07,4.2068599590669103e-07,2.701868064071298e-07,1.5944659988483204e-07,8.259888205816166e-08,3.2150769395483287e-08
1.655796775676236e-06,1.5723768491085165e-06,1.4176625556829133e-06,1.213335842887045e-06,9.853303393943016e-07,7.585835110659629e-07,5.527082836732503e-07,3.7941377753327296e-07,2.437271949238411e-07,1.438802619336195e-07,7.458549586000915e-08,2.9089107678632793e-08
1.417097331384924e-06,1.345718657097855e-06,1.213335842887045e-06,1.0384999481700657e-06,8.433998866698873e-07,6.493725777493572e-07,4.73198663286513e-07,3.2489964161150053e-07,2.0877539610782695e-07,1.2331507396820402e-07,6.399577221300235e-08,2.5039695258682198e-08
1.1507393892164028e-06,1.092796095554086e-06,9.853303393943016e-07,8.433998866698873e-07,6.850154707320275e-07,5.274966638346357e-07,3.844639935456287e-07,2.6405576334860084e-07,1.6976044838145588e-07,1.0035426447055534e-07,5.216731323676233e-08,2.0510711978364603e-08
8.858570714220562e-07,8.412731305839069e-07,7.585835110659629e-07,6.493725777493572e-07,5.274966638346357e-07,4.06280826964089e-07,2.9620348820326744e-07,2.0353015608662548e-07,1.3094265860544958e-07,7.750243114690776e-08,4.038761261303731e-08,1.5991955524193596e-08
6.453645323928065e-07,6.129074399541916e-07,5.527082836732503e-07,4.73198663286513e-07,3.844639935456287e-07,2.9620348820326744e-07,2.1604354650925492e-07,1.4854926121322965e-07,9.567049587190044e-08,5.672725205859425e-08,2.9667256815704275e-08,1.1866842758684839e-08
4.4293774549892336e-07,4.2068599590669103e-07,3.7941377753327296e-07,3.2489964161150053e-07,2.6405576334860084e-07,2.0353015608662548e-07,1.4854926121322965e-07,1.0224686277708156e-07,6.59570529324362e-08,3.921714370720578e-08,2.06223292419376e-08,8.375683952459333e-09
2.844517331577437e-07,2.701868064071298e-07,2.437271949238411e-07,2.0877539610782695e-07,1.6976044838145588e-07,1.3094265860544958e-07,9.567049587190044e-08,6.59570529324362e-08,4.2654862650047954e-08,2.5470848681265464e-08,1.3506635294851817e-08,5.6120799604523385e-09
1.678380582075318e-07,1.5944659988483204e-07,1.438802619336195e-07,1.2331507396820402e-07,1.0035426447055534e-07,7.750243114690776e-08,5.672725205859425e-08,3.921714370720578e-08,2.5470848681265464e-08,1.5319568284825908e-08,8.237069794881524e-09,3.548618466474047e-09
8.691800607896171e-08,8.259888205816166e-08,7.458549586000915e-08,6.399577221300235e-08,5.216731323676233e-08,4.038761261303731e-08,2.9667256815704275e-08,2.06223292419376e-08,1.3506635294851817e-08,8.237069794881524e-09,4.545127759193537e-09,2.0854523449949787e-09
3.380015756765561e-08,3.2150769395483287e-08,2.9089107678632793e-08,2.5039695258682198e-08,2.0510711978364603e-08,1.5991955524193596e-08,1.1866842758684839e-08,8.375683952459333e-09,5.6120799604523385e-09,3.548618466474047e-09,2.0854523449949787e-09,1.092908468775906e-09
