0,1,2,3,4,5,6,7,8,9,10
3.263182891135831e-07,3.102168899477357e-07,2.802910693809682e-07,2.406312438303404e-07,1.9616007425205266e-07,1.51632799263714e-07,1.1094915226247561e-07,7.644369671496609e-08,4.917087688049869e-08,2.891622450924086e-08,5.369847169787657e-09
3.102168899477357e-07,2.9491094643749265e-07,2.664634993137419e-07,2.287628092714602e-07,1.8648826156665256e-07,1.4416014342290114e-07,1.0548536435643815e-07,7.268333365641596e-08,4.675634728663783e-08,2.7500653532327644e-08,5.114026238286185e-09
2.802910693809682e-07,2.664634993137419e-07,2.4076364717587653e-07,2.0670406626643898e-07,1.6851201221383438e-07,1.3027111089126264e-07,9.532991226243014e-08,6.56937998144233e-08,4.226815344928686e-08,2.4869132322082394e-08,4.638103897685446e-09
2.406312438303404e-07,2.287628092714602e-07,2.0670406626643898e-07,1.774696907083166e-07,1.4468778686879446e-07,1.1186332177777943e-07,8.186996724969172e-08,5.6429460108329475e-08,3.6318753759295865e-08,2.1380379422357423e-08,4.006341240656265e-09
1.9616007425205266e-07,1.8648826156665256e-07,1.6851201221383438e-07,1.4468778686879446e-07,1.1797192512660804e-07,9.122059584427782e-08,6.677505953464316e-08,4.603898815120213e-08,2.9645351663812565e-08,1.746622678210303e-08,3.296178068625638e-09
1.51632799263714e-07,1.4416014342290114e-07,1.3027111089126264e-07,1.1186332177777943e-07,9.122059584427782e-08,7.054956272380856e-08,5.165849597478914e-08,3.563259203462133e-08,2.2960685982574357e-08,1.3544404116337203e-08,2.5828971903885536e-09
1.1094915226247561e-07,1.0548536435643815e-07,9.532991226243014e-08,8.186996724969172e-08,6.677505953464316e-08,5.165849597478914e-08,3.784176083605673e-08,2.6119047144458116e-08,1.68475521105187e-08,9.955838233426431e-09,1.9268914250944808e-09
7.644369671496609e-08,7.268333365641596e-08,6.56937998144233e-08,5.6429460108329475e-08,4.603898815120213e-08,3.563259203462133e-08,2.6119047144458116e-08,1.80457197949032e-08,1.1658204694348454e-08,6.907858396428329e-09,1.3669488410311672e-09
4.917087688049869e-08,4.675634728663783e-08,4.226815344928686e-08,3.6318753759295865e-08,2.9645351663812565e-08,2.2960685982574357e-08,1.68475521105187e-08,1.1658204694348454e-08,7.550096093505913e-09,4.492524123926743e-09,9.193001036731642e-10
2.891622450924086e-08,2.7500653532327644e-08,2.4869132322082394e-08,2.1380379422357423e-08,1.746622678210303e-08,1.3544404116337203e-08,9.955838233426431e-09,6.907858396428329e-09,4.492524123926743e-09,2.692381662044214e-09,5.816777811766744e-10
5.369847169787657e-09,5.114026238286185e-09,4.638103897685446e-09,4.006341240656265e-09,3.296178068625638e-09,2.5828971903885536e-09,1.9268914250944808e-09,1.3669488410311672e-09,9.193001036731642e-10,5.816777811766744e-10,1.7453159901399617e-10
