0,1,2,3,4,5,6,7,8,9,10,11,12
3.6236615216003924e-05,3.462902522239548e-05,3.162860407761333e-05,2.7624424418207574e-05,2.3089048397822366e-05,1.8503985027532728e-05,1.4201256341666974e-05,1.0491449341224883e-05,7.462459594512756e-06,5.12338325515585e-06,3.3986938080785985e-06,2.173861279168577e-06,1.3272873827066205e-06
3.462902522239548e-05,3.3092861532718526e-05,3.0225746148953055e-05,2.639945709580605e-05,2.2065551470766472e-05,1.7684122281117248e-05,1.3572487053528612e-05,1.002737408828653e-05,7.132805819533593e-06,4.897478506713374e-06,3.2492299530839383e-06,2.078627189724729e-06,1.2694817343972603e-06
3.162860407761333e-05,3.0225746148953055e-05,2.7607424855089527e-05,2.4113140958698433e-05,2.0155249388580837e-05,1.6153874629935574e-05,1.2398888425080167e-05,9.161156739305526e-06,6.517471945815227e-06,4.4757837685881254e-06,2.970208574855301e-06,1.9008257546948513e-06,1.161543030679205e-06
2.7624424418207574e-05,2.639945709580605e-05,2.4113140958698433e-05,2.1061905013140516e-05,1.760579154972576e-05,1.4111591132607266e-05,1.0832545437181542e-05,8.0050143872958e-06,5.696138844178956e-06,3.9128718711487606e-06,2.597707406516484e-06,1.6634177948238285e-06,1.0173829593682585e-06
2.3089048397822366e-05,2.2065551470766472e-05,2.0155249388580837e-05,1.760579154972576e-05,1.4717975025375395e-05,1.1798190892872e-05,9.058186915561862e-06,6.695253655129571e-06,4.765595400935773e-06,3.275035683409673e-06,2.175554935505914e-06,1.3942994411270299e-06,8.539058242761562e-07
1.8503985027532728e-05,1.7684122281117248e-05,1.6153874629935574e-05,1.4111591132607266e-05,1.1798190892872e-05,9.459025902881343e-06,7.263884863713074e-06,5.370593618901826e-06,3.824289310397761e-06,2.629652122886953e-06,1.7482473949941073e-06,1.1217463529188258e-06,6.88203305754764e-07
1.4201256341666974e-05,1.3572487053528612e-05,1.2398888425080167e-05,1.0832545437181542e-05,9.058186915561862e-06,7.263884863713074e-06,5.580053131464601e-06,4.12748310866669e-06,2.940926333385937e-06,2.0239899047454955e-06,1.3472336589132346e-06,8.659591416905277e-07,5.326887716950874e-07
1.0491449341224883e-05,1.002737408828653e-05,9.161156739305526e-06,8.0050143872958e-06,6.695253655129571e-06,5.370593618901826e-06,4.12748310866669e-06,3.054832457211855e-06,2.178422195216703e-06,1.5009320416769089e-06,1.0006684254813186e-06,6.446750285407948e-07,3.979392237488895e-07
7.462459594512756e-06,7.132805819533593e-06,6.517471945815227e-06,5.696138844178956e-06,4.765595400935773e-06,3.824289310397761e-06,2.940926333385937e-06,2.178422195216703e-06,1.5552210825186315e-06,1.0732438721300059e-06,7.17115818758874e-07,4.6346066716495557e-07,2.874363696746107e-07
5.12338325515585e-06,4.897478506713374e-06,4.4757837685881254e-06,3.9128718711487606e-06,3.275035683409673e-06,2.629652122886953e-06,2.0239899047454955e-06,1.5009320416769089e-06,1.0732438721300059e-06,7.422584096422239e-07,4.974734725810997e-07,3.229025872879286e-07,2.0154990084343386e-07
3.3986938080785985e-06,3.2492299530839383e-06,2.970208574855301e-06,2.597707406516484e-06,2.175554935505914e-06,1.7482473949941073e-06,1.3472336589132346e-06,1.0006684254813186e-06,7.17115818758874e-07,4.974734725810997e-07,3.348246630646341e-07,2.186231647814346e-07,1.376503158975276e-07
2.173861279168577e-06,2.078627189724729e-06,1.9008257546948513e-06,1.6634177948238285e-06,1.3942994411270299e-06,1.1217463529188258e-06,8.659591416905277e-07,6.446750285407948e-07,4.6346066716495557e-07,3.229025872879286e-07,2.186231647814346e-07,1.4393126188103885e-07,9.17030013613744e-08
1.3272873827066205e-06,1.2694817343972603e-06,1.161543030679205e-06,1.0173829593682585e-06,8.539058242761562e-07,6.88203305754764e-07,5.326887716950874e-07,3.979392237488895e-07,2.874363696746107e-07,2.0154990084343386e-07,1.376503158975276e-07,9.17030013613744e-08,5.940666432879236e-08
