0,1,2,3,4,5,6,7,8,9
8.025992060413035e-07,1.6544741665343324e-06,1.6293528021691547e-06,1.3885097770018935e-06,1.1543445093719005e-06,9.507462670967331e-07,7.905676802625723e-07,6.08841954948126e-07,4.3437898501160035e-07,3.075564537976324e-07
1.6544741665343324e-06,3.4524474575480276e-06,3.442544222891446e-06,2.9557234010209048e-06,2.4708357480379473e-06,2.0451108716882772e-06,1.7065129325141075e-06,1.3203636544444682e-06,9.48321821146809e-07,6.751556691941551e-07
1.6293528021691547e-06,3.442544222891446e-06,3.481046033587307e-06,3.0176904970866765e-06,2.5402471846832493e-06,2.1155026673272422e-06,1.7734767847576173e-06,1.3804058930812275e-06,9.99827717371903e-07,7.169278994994239e-07
1.3885097770018935e-06,2.9557234010209048e-06,3.0176904970866765e-06,2.635914930714298e-06,2.2309919254180706e-06,1.8667862221728939e-06,1.5709156323531647e-06,1.2285836815408117e-06,8.957569094716741e-07,6.460153845818911e-07
1.1543445093719005e-06,2.4708357480379473e-06,2.5402471846832493e-06,2.2309919254180706e-06,1.8958431217515937e-06,1.5919038640502007e-06,1.3433763264766034e-06,1.054401567594928e-06,7.725783291435333e-07,5.596080747811226e-07
9.507462670967331e-07,2.0451108716882772e-06,2.1155026673272422e-06,1.8667862221728939e-06,1.5919038640502007e-06,1.3407832125632899e-06,1.1342503454896855e-06,8.930619051028175e-07,6.571894119516949e-07,4.778303244789714e-07
7.905676802625723e-07,1.7065129325141075e-06,1.7734767847576173e-06,1.5709156323531647e-06,1.3433763264766034e-06,1.1342503454896855e-06,9.614828709691193e-07,7.589926651937942e-07,5.605028014526968e-07,4.088061658280584e-07
6.08841954948126e-07,1.3203636544444682e-06,1.3804058930812275e-06,1.2285836815408117e-06,1.054401567594928e-06,8.930619051028175e-07,7.589926651937942e-07,6.011519970872496e-07,4.4595330029061473e-07,3.2657088409745926e-07
4.3437898501160035e-07,9.48321821146809e-07,9.99827717371903e-07,8.957569094716741e-07,7.725783291435333e-07,6.571894119516949e-07,5.605028014526968e-07,4.4595330029061473e-07,3.3286382856904287e-07,2.450655802485107e-07
3.075564537976324e-07,6.751556691941551e-07,7.169278994994239e-07,6.460153845818911e-07,5.596080747811226e-07,4.778303244789714e-07,4.088061658280584e-07,3.2657088409745926e-07,2.450655802485107e-07,1.8129660980899942e-07
