0,1,2,3,4,5,6,7,8,9,10
5.3955029987696205e-09,1.202883492728079e-08,1.3142841630602096e-08,1.2241163930015876e-08,1.0935597993641847e-08,9.618737615979868e-09,8.453607254949773e-09,7.02350242615965e-09,5.554311000097007e-09,4.301264266006714e-09,2.3780323455779427e-09
1.202883492728079e-08,2.6889345351890065e-08,2.9462999777606398e-08,2.7489088333598874e-08,2.45851863060724e-08,2.164473801123237e-08,1.9035066445578885e-08,1.5826911894738228e-08,1.2525465654756748e-08,9.704205492174785e-09,5.369551304759302e-09
1.3142841630602096e-08,2.9462999777606398e-08,3.2387088096714075e-08,3.0282211987781094e-08,2.7123375148372562e-08,2.3908816573152467e-08,2.1045530199223593e-08,1.751812292693591e-08,1.388031442752634e-08,1.0763903709780773e-08,5.966967316762919e-09
1.2241163930015876e-08,2.7489088333598874e-08,3.0282211987781094e-08,2.8359661309498826e-08,2.5431393637033522e-08,2.243990128293671e-08,1.9768418534907033e-08,1.647153286406847e-08,1.3065913446538366e-08,1.0142752828946728e-08,5.634768841822833e-09
1.0935597993641847e-08,2.45851863060724e-08,2.7123375148372562e-08,2.5431393637033522e-08,2.2826072645531934e-08,2.015668813549416e-08,1.776837828978638e-08,1.4816966901163756e-08,1.176456410416621e-08,9.140710086627607e-09,5.087776857969512e-09
9.618737615979868e-09,2.164473801123237e-08,2.3908816573152467e-08,2.243990128293671e-08,2.015668813549416e-08,1.781144532456742e-08,1.57097828127582e-08,1.310954547998271e-08,1.041760502287529e-08,8.10065204281407e-09,4.516633572705036e-09
8.453607254949773e-09,1.9035066445578885e-08,2.1045530199223593e-08,1.9768418534907033e-08,1.776837828978638e-08,1.57097828127582e-08,1.3862700051421838e-08,1.157517266616344e-08,9.205028527316375e-09,7.162913951787123e-09,4.00000131788226e-09
7.02350242615965e-09,1.5826911894738228e-08,1.751812292693591e-08,1.647153286406847e-08,1.4816966901163756e-08,1.310954547998271e-08,1.157517266616344e-08,9.672566461758311e-09,7.699243397261015e-09,5.9967996311689245e-09,3.355593673823288e-09
5.554311000097007e-09,1.2525465654756748e-08,1.388031442752634e-08,1.3065913446538366e-08,1.176456410416621e-08,1.041760502287529e-08,9.205028527316375e-09,7.699243397261015e-09,6.135714307444783e-09,4.784723319335759e-09,2.684335141644367e-09
4.301264266006714e-09,9.704205492174785e-09,1.0763903709780773e-08,1.0142752828946728e-08,9.140710086627607e-09,8.10065204281407e-09,7.162913951787123e-09,5.9967996311689245e-09,4.784723319335759e-09,3.735916033363627e-09,2.1016970372500913e-09
2.3780323455779427e-09,5.369551304759302e-09,5.966967316762919e-09,5.634768841822833e-09,5.087776857969512e-09,4.516633572705036e-09,4.00000131788226e-09,3.355593673823288e-09,2.684335141644367e-09,2.1016970372500913e-09,1.1894710312564626e-09
