0,1,2,3,4,5,6,7,8,9,10,11
5.919999712831527e-07,5.626043582472641e-07,5.084247914033811e-07,4.369065562972844e-07,3.5745348506645334e-07,2.790054673774661e-07,2.0785967901255926e-07,1.4814271397041012e-07,1.0114076105825781e-07,6.608698117729171e-08,4.1035618689622126e-08,2.3762959768386043e-08
5.626043582472641e-07,5.34683036849453e-07,4.832184865443831e-07,4.152821138278954e-07,3.3980507568136325e-07,2.652824388756571e-07,1.9768985582805837e-07,1.4095110068010048e-07,9.628698612133707e-08,6.296951610501171e-08,3.915131216059438e-08,2.2721884982893124e-08
5.084247914033811e-07,4.832184865443831e-07,4.3675627862451194e-07,3.754195228526107e-07,3.0726886878582205e-07,2.399787241101313e-07,1.789336887836824e-07,1.276831610025895e-07,8.732766013389699e-08,5.7210757731987636e-08,3.566626336860285e-08,2.079214423157565e-08
4.369065562972844e-07,4.152821138278954e-07,3.754195228526107e-07,3.227923169702939e-07,2.6430961730268924e-07,2.0656329309755916e-07,1.5415907315326174e-07,1.1015136746448874e-07,7.548250267025958e-08,4.959072417992753e-08,3.104891822754775e-08,1.822952990960742e-08
3.5745348506645334e-07,3.3980507568136325e-07,3.0726886878582205e-07,2.6430961730268924e-07,2.1656026530564221e-07,1.6940950562221178e-07,1.2659991233337357e-07,9.063577962488937e-08,6.228380303049466e-08,4.108708757311577e-08,2.5883644845208572e-08,1.5350372077527385e-08
2.790054673774661e-07,2.652824388756571e-07,2.399787241101313e-07,2.0656329309755916e-07,1.6940950562221178e-07,1.327193605693428e-07,9.938195356632147e-08,7.135930101928201e-08,4.9244461194265596e-08,3.268388941436661e-08,2.0777212187539708e-08,1.2501936233061605e-08
2.0785967901255926e-07,1.9768985582805837e-07,1.789336887836824e-07,1.5415907315326174e-07,1.2659991233337357e-07,9.938195356632147e-08,7.462540721635355e-08,5.3798866179084055e-08,3.733872100479203e-08,2.4984754616478456e-08,1.607302427421949e-08,9.852388530191106e-09
1.4814271397041012e-07,1.4095110068010048e-07,1.276831610025895e-07,1.1015136746448874e-07,9.063577962488937e-08,7.135930101928201e-08,5.3798866179084055e-08,3.900883247808664e-08,2.729421147030591e-08,1.847271343104123e-08,1.2078218456762276e-08,7.586698193209873e-09
1.0114076105825781e-07,9.628698612133707e-08,8.732766013389699e-08,7.548250267025958e-08,6.228380303049466e-08,4.9244461194265596e-08,3.733872100479203e-08,2.729421147030591e-08,1.931309861926615e-08,1.327399186700125e-08,8.865647083865958e-09,5.741616894561454e-09
6.608698117729171e-08,6.296951610501171e-08,5.7210757731987636e-08,4.959072417992753e-08,4.108708757311577e-08,3.268388941436661e-08,2.4984754616478456e-08,1.847271343104123e-08,1.327399186700125e-08,9.312212015977881e-09,6.390724079971152e-09,4.294053038261882e-09
4.1035618689622126e-08,3.915131216059438e-08,3.566626336860285e-08,3.104891822754775e-08,2.5883644845208572e-08,2.0777212187539708e-08,1.607302427421949e-08,1.2078218456762276e-08,8.865647083865958e-09,6.390724079971152e-09,4.5377531348588854e-09,3.1832299532286385e-09
2.3762959768386043e-08,2.2721884982893124e-08,2.079214423157565e-08,1.822952990960742e-08,1.5350372077527385e-08,1.2501936233061605e-08,9.852388530191106e-09,7.586698193209873e-09,5.741616894561454e-09,4.294053038261882e-09,3.1832299532286385e-09,2.3476800462422553e-09
