0,1,2,3,4,5,6,7,8,9,10
7.760593960030511e-05,7.374170438644102e-05,6.690686743524067e-05,5.796807203119684e-05,4.817759112553406e-05,3.803271922307935e-05,2.9154775504165353e-05,2.1557274083658002e-05,1.5514978580153055e-05,1.0941833251068895e-05,7.606438311064278e-06
7.374170438644102e-05,7.007213291398394e-05,6.357990516223965e-05,5.50886966166103e-05,4.5787077318937576e-05,3.6151590548409815e-05,2.7716647565279882e-05,2.0498362318314957e-05,1.4757117838688088e-05,1.0411252249704137e-05,7.241047387044335e-06
6.690686743524067e-05,6.357990516223965e-05,5.7691991072569315e-05,4.999063177029551e-05,4.155268789839554e-05,3.281510354496788e-05,2.516302634726332e-05,1.8614821419684355e-05,1.3405934153933987e-05,9.462394252649133e-06,6.585028346277911e-06
5.796807203119684e-05,5.50886966166103e-05,4.999063177029551e-05,4.332175676720845e-05,3.6013070956448564e-05,2.8448943421382085e-05,2.182052807540213e-05,1.6148494189989405e-05,1.1635807787005891e-05,8.218535364647142e-06,5.724339897544346e-06
4.817759112553406e-05,4.5787077318937576e-05,4.155268789839554e-05,3.6013070956448564e-05,2.994038125981853e-05,2.365876406287683e-05,1.8150949659599965e-05,1.3437970407545829e-05,9.687683798016986e-06,6.84708079669791e-06,4.773116689029199e-06
3.803271922307935e-05,3.6151590548409815e-05,3.281510354496788e-05,2.8448943421382085e-05,2.365876406287683e-05,1.8711814057154593e-05,1.436639708369584e-05,1.0648438863922078e-05,7.688441706728766e-06,5.444857858031312e-06,3.805203675497819e-06
2.9154775504165353e-05,2.7716647565279882e-05,2.516302634726332e-05,2.182052807540213e-05,1.8150949659599965e-05,1.436639708369584e-05,1.1037006180617334e-05,8.188588804816493e-06,5.9199067732639615e-06,4.199303471138813e-06,2.940835336994285e-06
2.1557274083658002e-05,2.0498362318314957e-05,1.8614821419684355e-05,1.6148494189989405e-05,1.3437970407545829e-05,1.0648438863922078e-05,8.188588804816493e-06,6.084364876952754e-06,4.4073142859373616e-06,3.1342505401021017e-06,2.2019508632879963e-06
1.5514978580153055e-05,1.4757117838688088e-05,1.3405934153933987e-05,1.1635807787005891e-05,9.687683798016986e-06,7.688441706728766e-06,5.9199067732639615e-06,4.4073142859373616e-06,3.2007423023774455e-06,2.283713614733299e-06,1.6110357667647264e-06
1.0941833251068895e-05,1.0411252249704137e-05,9.462394252649133e-06,8.218535364647142e-06,6.84708079669791e-06,5.444857858031312e-06,4.199303471138813e-06,3.1342505401021017e-06,2.283713614733299e-06,1.6362648234420384e-06,1.1603161517569156e-06
7.606438311064278e-06,7.241047387044335e-06,6.585028346277911e-06,5.724339897544346e-06,4.773116689029199e-06,3.805203675497819e-06,2.940835336994285e-06,2.2019508632879963e-06,1.6110357667647264e-06,1.1603161517569156e-06,8.280842415051788e-07
