0,1,2,3,4,5,6,7,8,9
1.2050213464317977e-06,2.443424306552929e-06,2.3873462809263e-06,2.0178426689339336e-06,1.6626562409764855e-06,1.3742823778816504e-06,1.1527050270727459e-06,8.938446977319787e-07,6.553288683617275e-07,4.716418496479799e-07
2.443424306552929e-06,5.000100126517228e-06,4.936395975932107e-06,4.201212497186227e-06,3.477901620497892e-06,2.8846363218021726e-06,2.425075173102048e-06,1.8871940756837075e-06,1.3883524390085136e-06,1.0029533407122705e-06
2.3873462809263e-06,4.936395975932107e-06,4.934364649871972e-06,4.237263689621992e-06,3.5300507839229277e-06,2.9418871126908735e-06,2.481521756268481e-06,1.94079627780511e-06,1.4351303772765635e-06,1.0422342998070299e-06
2.0178426689339336e-06,4.201212497186227e-06,4.237263689621992e-06,3.6650313412770316e-06,3.0698215925433054e-06,2.5689484440738973e-06,2.1736428324588045e-06,1.7075321279956524e-06,1.2687226850677097e-06,9.257232984510603e-07
1.6626562409764855e-06,3.477901620497892e-06,3.5300507839229277e-06,3.0698215925433054e-06,2.5819194087401347e-06,2.1676180755861936e-06,1.8385961789416988e-06,1.4493707962673886e-06,1.0810881700166346e-06,7.917735608563875e-07
1.3742823778816504e-06,2.8846363218021726e-06,2.9418871126908735e-06,2.5689484440738973e-06,2.1676180755861936e-06,1.8244161286049595e-06,1.550542922658007e-06,1.2256924730361415e-06,9.171076932622928e-07,6.736997656073593e-07
1.1527050270727459e-06,2.425075173102048e-06,2.481521756268481e-06,2.1736428324588045e-06,1.8385961789416988e-06,1.550542922658007e-06,1.3198530609619434e-06,1.0456220832473234e-06,7.843444695914589e-07,5.775585635637739e-07
8.938446977319787e-07,1.8871940756837075e-06,1.94079627780511e-06,1.7075321279956524e-06,1.4493707962673886e-06,1.2256924730361415e-06,1.0456220832473234e-06,8.309169004580706e-07,6.254709423716952e-07,4.6211975231808254e-07
6.553288683617275e-07,1.3883524390085136e-06,1.4351303772765635e-06,1.2687226850677097e-06,1.0810881700166346e-06,9.171076932622928e-07,7.843444695914589e-07,6.254709423716952e-07,4.7273191587830645e-07,3.50616817912881e-07
4.716418496479799e-07,1.0029533407122705e-06,1.0422342998070299e-06,9.257232984510603e-07,7.917735608563875e-07,6.736997656073593e-07,5.775585635637739e-07,4.6211975231808254e-07,3.50616817912881e-07,2.610594232489769e-07
