0,1,2,3,4,5,6,7,8,9,10
7.268939387579426e-09,1.5962208902766297e-08,1.7241518706040126e-08,1.5905798642660042e-08,1.409858251903054e-08,1.2389062729526115e-08,1.0928758227824156e-08,9.104791119941385e-09,7.264502448865722e-09,5.6794712697693855e-09,3.210980339551663e-09
1.5962208902766297e-08,3.513097713451007e-08,3.804263429513169e-08,3.5152162709039833e-08,3.1188938299400705e-08,2.74252896560027e-08,2.4202574948545205e-08,2.0173771604354685e-08,1.6102673827525498e-08,1.2592042480323522e-08,7.120115015700533e-09
1.7241518706040126e-08,3.804263429513169e-08,4.1317494557095016e-08,3.825520039718305e-08,3.398660083671629e-08,2.991301316356794e-08,2.6414541507278898e-08,2.203527620612434e-08,1.7601302289055327e-08,1.3771370916165118e-08,7.793196965800329e-09
1.5905798642660042e-08,3.5152162709039833e-08,3.825520039718305e-08,3.547366074338313e-08,3.1549252560118074e-08,2.77901447285948e-08,2.4554595315998357e-08,2.0499552359437393e-08,1.638744535225578e-08,1.2830449606117979e-08,7.269915858908784e-09
1.409858251903054e-08,3.1188938299400705e-08,3.398660083671629e-08,3.1549252560118074e-08,2.808172680310528e-08,2.4751438029887427e-08,2.1880492714551223e-08,1.8278894148138115e-08,1.4622397622231157e-08,1.1456005851179577e-08,6.499522658252648e-09
1.2389062729526115e-08,2.74252896560027e-08,2.991301316356794e-08,2.77901447285948e-08,2.4751438029887427e-08,2.1827184415280656e-08,1.9303315060777392e-08,1.6134607184788005e-08,1.2914733857572346e-08,1.012397984711327e-08,5.750573119703808e-09
1.0928758227824156e-08,2.4202574948545205e-08,2.6414541507278898e-08,2.4554595315998357e-08,2.1880492714551223e-08,1.9303315060777392e-08,1.7077083805990195e-08,1.4280234556365508e-08,1.1436281351990114e-08,8.9696034426933e-09,5.100335135819661e-09
9.104791119941385e-09,2.0173771604354685e-08,2.203527620612434e-08,2.0499552359437393e-08,1.8278894148138115e-08,1.6134607184788005e-08,1.4280234556365508e-08,1.194857134841652e-08,9.57551587523904e-09,7.515359028581866e-09,4.279607089080669e-09
7.264502448865722e-09,1.6102673827525498e-08,1.7601302289055327e-08,1.638744535225578e-08,1.4622397622231157e-08,1.2914733857572346e-08,1.1436281351990114e-08,9.57551587523904e-09,7.679945298936409e-09,6.032630502788547e-09,3.44139464141131e-09
5.6794712697693855e-09,1.2592042480323522e-08,1.3771370916165118e-08,1.2830449606117979e-08,1.1456005851179577e-08,1.012397984711327e-08,8.9696034426933e-09,7.515359028581866e-09,6.032630502788547e-09,4.742838754741284e-09,2.7108145260834667e-09
3.210980339551663e-09,7.120115015700533e-09,7.793196965800329e-09,7.269915858908784e-09,6.499522658252648e-09,5.750573119703808e-09,5.100335135819661e-09,4.279607089080669e-09,3.44139464141131e-09,2.7108145260834667e-09,1.5559870348385063e-09
