0,1,2,3,4,5,6,7,8,9
4.423007610673265e-06,4.1232930849738955e-06,3.6115850291058254e-06,3.0082176344541258e-06,2.4112595972548785e-06,1.875242669875271e-06,1.429320503706969e-06,1.057269230726809e-06,7.633893284425567e-07,5.249547081922137e-07
4.1232930849738955e-06,3.84408649301684e-06,3.3673796259750864e-06,2.8052634516810727e-06,2.249080775160357e-06,1.7496634459303365e-06,1.3340648693370242e-06,9.872795996475042e-07,7.132810668045356e-07,4.909323992393326e-07
3.6115850291058254e-06,3.3673796259750864e-06,2.950435520314726e-06,2.4587629064216543e-06,1.972188257969713e-06,1.5352500258007708e-06,1.1714182922207599e-06,8.67768227681819e-07,6.27711920265841e-07,4.3282705417873914e-07
3.0082176344541258e-06,2.8052634516810727e-06,2.4587629064216543e-06,2.0501786985085466e-06,1.6456950884232862e-06,1.2824258372018744e-06,9.796215118604863e-07,7.268337360700474e-07,5.26798777411997e-07,3.642977840716581e-07
2.4112595972548785e-06,2.249080775160357e-06,1.972188257969713e-06,1.6456950884232862e-06,1.3224180137518367e-06,1.0320097983500772e-06,7.895559045682285e-07,5.870810642174793e-07,4.266578603726618e-07,2.962100676390348e-07
1.875242669875271e-06,1.7496634459303365e-06,1.5352500258007708e-06,1.2824258372018744e-06,1.0320097983500772e-06,8.071089820060707e-07,6.188299515697091e-07,4.6152783424035477e-07,3.3669191833731245e-07,2.350266497780173e-07
1.429320503706969e-06,1.3340648693370242e-06,1.1714182922207599e-06,9.796215118604863e-07,7.895559045682285e-07,6.188299515697091e-07,4.75602552595252e-07,3.558335181515363e-07,2.6061617782608155e-07,1.829491515229608e-07
1.057269230726809e-06,9.872795996475042e-07,8.67768227681819e-07,7.268337360700474e-07,5.870810642174793e-07,4.6152783424035477e-07,3.558335181515363e-07,2.673809430177939e-07,1.9687542198621778e-07,1.392482202853314e-07
7.633893284425567e-07,7.132810668045356e-07,6.27711920265841e-07,5.26798777411997e-07,4.266578603726618e-07,3.3669191833731245e-07,2.6061617782608155e-07,1.9687542198621778e-07,1.4591091487378997e-07,1.0413881108231819e-07
5.249547081922137e-07,4.909323992393326e-07,4.3282705417873914e-07,3.642977840716581e-07,2.962100676390348e-07,2.350266497780173e-07,1.829491515229608e-07,1.392482202853314e-07,1.0413881108231819e-07,7.525317430760195e-08
