0,1,2,3,4,5,6,7,8,9,10,11
1.0037396240886483e-06,9.44091655836072e-07,8.398941288751815e-07,7.135420255215483e-07,5.846990393521976e-07,4.6579860876173994e-07,3.619802825958403e-07,2.7522621207380927e-07,2.0493005536046322e-07,1.4734151426668875e-07,1.0136658984861803e-07,6.534110273360284e-08
9.44091655836072e-07,8.880601705658327e-07,7.901719223424912e-07,6.71452607490874e-07,5.503737249699676e-07,4.3861599974595e-07,3.41004535917603e-07,2.5942204500264823e-07,1.9329709127328232e-07,1.3911100022110753e-07,9.583092192118577e-08,6.190174672626182e-08
8.398941288751815e-07,7.901719223424912e-07,7.032972879419416e-07,5.979029779118329e-07,4.903794533385618e-07,3.910932397611479e-07,3.043232085576462e-07,2.3177401724755028e-07,1.729352529067744e-07,1.2469385604205717e-07,8.612431923071911e-08,5.5860440130274534e-08
7.135420255215483e-07,6.71452607490874e-07,5.979029779118329e-07,5.086381238264494e-07,4.1752734360719753e-07,3.333455127356973e-07,2.5971394453386576e-07,1.9811511488518438e-07,1.481130570934154e-07,1.0708479680989669e-07,7.423648008959156e-08,4.842798811445623e-08
5.846990393521976e-07,5.503737249699676e-07,4.903794533385618e-07,4.1752734360719753e-07,3.4312809878522285e-07,2.743293484547945e-07,2.1408574326426618e-07,1.6364922429388756e-07,1.226596263360058e-07,8.899134840194553e-08,6.198698532833718e-08,4.0733471362234804e-08
4.6579860876173994e-07,4.3861599974595e-07,3.910932397611479e-07,3.333455127356973e-07,2.743293484547945e-07,2.1970497910297657e-07,1.7180257264138897e-07,1.3166111273243575e-07,9.899166577399529e-08,7.21217612796739e-08,5.0522315885897484e-08,3.348678271637566e-08
3.619802825958403e-07,3.41004535917603e-07,3.043232085576462e-07,2.5971394453386576e-07,2.1408574326426618e-07,1.7180257264138897e-07,1.346641454110303e-07,1.0350537961738442e-07,7.810204982865131e-08,5.717655290345879e-08,4.031174396347206e-08,2.6977245272506016e-08
2.7522621207380927e-07,2.5942204500264823e-07,2.3177401724755028e-07,1.9811511488518438e-07,1.6364922429388756e-07,1.3166111273243575e-07,1.0350537961738442e-07,7.984991978121703e-08,6.052033630643844e-08,4.456724903844623e-08,3.166761839590724e-08,2.1436379071867204e-08
2.0493005536046322e-07,1.9329709127328232e-07,1.729352529067744e-07,1.481130570934154e-07,1.226596263360058e-07,9.899166577399529e-08,7.810204982865131e-08,6.052033630643844e-08,4.611637346874604e-08,3.4199207447349225e-08,2.4523114277535928e-08,1.6819539719221082e-08
1.4734151426668875e-07,1.3911100022110753e-07,1.2469385604205717e-07,1.0708479680989669e-07,8.899134840194553e-08,7.21217612796739e-08,5.717655290345879e-08,4.456724903844623e-08,3.4199207447349225e-08,2.5593336280907867e-08,1.8565949134449155e-08,1.2942626234607801e-08
1.0136658984861803e-07,9.583092192118577e-08,8.612431923071911e-08,7.423648008959156e-08,6.198698532833718e-08,5.0522315885897484e-08,4.031174396347206e-08,3.166761839590724e-08,2.4523114277535928e-08,1.8565949134449155e-08,1.3664400206349871e-08,9.715038399728271e-09
6.534110273360284e-08,6.190174672626182e-08,5.5860440130274534e-08,4.842798811445623e-08,4.0733471362234804e-08,3.348678271637566e-08,2.6977245272506016e-08,2.1436379071867204e-08,1.6819539719221082e-08,1.2942626234607801e-08,9.715038399728271e-09,7.087378077102136e-09
