0,1,2,3,4,5,6,7,8,9
0.00010477536837947955,9.835557334673095e-05,8.698049701694051e-05,7.577968638755229e-05,6.371500020573198e-05,5.162865858526255e-05,4.0799260227080905e-05,3.1543696263350305e-05,2.3953804436686408e-05,1.7594587240692212e-05
9.835557334673095e-05,9.238221279677031e-05,8.173255038888927e-05,7.117661043779374e-05,5.985548816343378e-05,4.8514263553476735e-05,3.835087354766493e-05,2.9665025516881646e-05,2.2536549010316208e-05,1.6565405760212307e-05
8.698049701694051e-05,8.173255038888927e-05,7.242524325361243e-05,6.307891277355972e-05,5.304259722189245e-05,4.3013810574133316e-05,3.402441262374652e-05,2.6342429812223698e-05,2.0029413039067823e-05,1.4742902448063654e-05
7.577968638755229e-05,7.117661043779374e-05,6.307891277355972e-05,5.499909354899592e-05,4.6241352638795924e-05,3.750462432030245e-05,2.9674795949369546e-05,2.2983718714222488e-05,1.748228055196447e-05,1.2875675870224527e-05
6.371500020573198e-05,5.985548816343378e-05,5.304259722189245e-05,4.6241352638795924e-05,3.888526539537864e-05,3.1542070201271625e-05,2.4961340585234745e-05,1.9337732959776624e-05,1.4712090269844372e-05,1.0839305739879542e-05
5.162865858526255e-05,4.8514263553476735e-05,4.3013810574133316e-05,3.750462432030245e-05,3.1542070201271625e-05,2.559615578039028e-05,2.0266929946313022e-05,1.571299683812343e-05,1.1962633095260573e-05,8.823683839300687e-06
4.0799260227080905e-05,3.835087354766493e-05,3.402441262374652e-05,2.9674795949369546e-05,2.4961340585234745e-05,2.0266929946313022e-05,1.6058945897676918e-05,1.2463329692684975e-05,9.497384474654927e-06,7.016007050797252e-06
3.1543696263350305e-05,2.9665025516881646e-05,2.6342429812223698e-05,2.2983718714222488e-05,1.9337732959776624e-05,1.571299683812343e-05,1.2463329692684975e-05,9.686802042904576e-06,7.391191377397243e-06,5.471790915143428e-06
2.3953804436686408e-05,2.2536549010316208e-05,2.0029413039067823e-05,1.748228055196447e-05,1.4712090269844372e-05,1.1962633095260573e-05,9.497384474654927e-06,7.391191377397243e-06,5.646290695046409e-06,4.188060249285965e-06
1.7594587240692212e-05,1.6565405760212307e-05,1.4742902448063654e-05,1.2875675870224527e-05,1.0839305739879542e-05,8.823683839300687e-06,7.016007050797252e-06,5.471790915143428e-06,4.188060249285965e-06,3.1161676183683212e-06
