0,1,2,3,4,5,6,7,8,9,10,11,12
1.8067523457042975e-05,1.7072604076140358e-05,1.5321720271075674e-05,1.3137413965659606e-05,1.0852636928949868e-05,8.823320109703022e-06,7.004655523498207e-06,5.429637166270836e-06,4.110898427493437e-06,3.0575721623713822e-06,2.1828592724439566e-06,1.4936939401282014e-06,9.561264517864908e-07
1.7072604076140358e-05,1.6132820275965503e-05,1.4478943030356132e-05,1.2415569408031685e-05,1.0257550807263442e-05,8.340507867347354e-06,6.6222031434200605e-06,5.134084060535072e-06,3.888039909396565e-06,2.892605063481961e-06,2.0658845143593037e-06,1.4144645307758954e-06,9.062349066741864e-07
1.5321720271075674e-05,1.4478943030356132e-05,1.2996019946727127e-05,1.1145662193419074e-05,9.210328854243826e-06,7.490860844566706e-06,5.949185840952649e-06,4.61397936853903e-06,3.4958630428021515e-06,2.602275019459314e-06,1.8600190894692356e-06,1.2750155409011936e-06,8.184120103685369e-07
1.3137413965659606e-05,1.2415569408031685e-05,1.1145662193419074e-05,9.562315717274077e-06,7.905040698022648e-06,6.4316818399636775e-06,5.110510434485865e-06,3.966095201558003e-06,3.0075954313092977e-06,2.2409709706922107e-06,1.6040446602046857e-06,1.1018191919494011e-06,7.095353873801857e-07
1.0852636928949868e-05,1.0257550807263442e-05,9.210328854243826e-06,7.905040698022648e-06,6.5428177699968585e-06,5.326676983992843e-06,4.236297395133699e-06,3.2916682716852767e-06,2.5002081655771556e-06,1.8664637409704908e-06,1.339488029513694e-06,9.237100724350561e-07,5.984714406340527e-07
8.823320109703022e-06,8.340507867347354e-06,7.490860844566706e-06,6.4316818399636775e-06,5.326676983992843e-06,4.340520086065344e-06,3.4544517487748285e-06,2.687003402131444e-06,2.043784732555948e-06,1.52830050886987e-06,1.0992873668075308e-06,7.606485716040941e-07,4.954133436943559e-07
7.004655523498207e-06,6.6222031434200605e-06,5.949185840952649e-06,5.110510434485865e-06,4.236297395133699e-06,3.4544517487748285e-06,2.75170866412122e-06,2.142909580111602e-06,1.6324892689535214e-06,1.2229298907235641e-06,8.818473140423316e-07,6.124259465383899e-07,4.0111108516505145e-07
5.429637166270836e-06,5.134084060535072e-06,4.61397936853903e-06,3.966095201558003e-06,3.2916682716852767e-06,2.687003402131444e-06,2.142909580111602e-06,1.6715130098212104e-06,1.276101143040397e-06,9.583170121698185e-07,6.933935491533771e-07,4.839437809524185e-07,3.193495766614155e-07
4.110898427493437e-06,3.888039909396565e-06,3.4958630428021515e-06,3.0075954313092977e-06,2.5002081655771556e-06,2.043784732555948e-06,1.6324892689535214e-06,1.276101143040397e-06,9.769683219786986e-07,7.360467879345186e-07,5.349284424860732e-07,3.7573397609822264e-07,2.5031343013901047e-07
3.0575721623713822e-06,2.892605063481961e-06,2.602275019459314e-06,2.2409709706922107e-06,1.8664637409704908e-06,1.52830050886987e-06,1.2229298907235641e-06,9.583170121698185e-07,7.360467879345186e-07,5.566142889859791e-07,4.0655989795494373e-07,2.876355621308242e-07,1.9366315599160523e-07
2.1828592724439566e-06,2.0658845143593037e-06,1.8600190894692356e-06,1.6040446602046857e-06,1.339488029513694e-06,1.0992873668075308e-06,8.818473140423316e-07,6.933935491533771e-07,5.349284424860732e-07,4.0655989795494373e-07,2.989713581273499e-07,2.1353924359022484e-07,1.4575625176285016e-07
1.4936939401282014e-06,1.4144645307758954e-06,1.2750155409011936e-06,1.1018191919494011e-06,9.237100724350561e-07,7.606485716040941e-07,6.124259465383899e-07,4.839437809524185e-07,3.7573397609822264e-07,2.876355621308242e-07,2.1353924359022484e-07,1.5454303841790447e-07,1.074523218580848e-07
9.561264517864908e-07,9.062349066741864e-07,8.184120103685369e-07,7.095353873801857e-07,5.984714406340527e-07,4.954133436943559e-07,4.0111108516505145e-07,3.193495766614155e-07,2.5031343013901047e-07,1.9366315599160523e-07,1.4575625176285016e-07,1.074523218580848e-07,7.659568206554789e-08
