0,1,2,3,4,5,6,7,8,9
6.6173485624809384e-06,6.251616117351841e-06,5.568104398652195e-06,4.65877684632462e-06,3.631697118137792e-06,2.6067867486735597e-06,1.6834239531724877e-06,9.13826052481727e-07,3.432626050342632e-07,-3.233034611885241e-08
6.251616117351841e-06,5.906642309204985e-06,5.261906401697775e-06,4.404084649115714e-06,3.435069538492011e-06,2.46790506863139e-06,1.5963178697390949e-06,8.695534302909986e-07,3.3041397522194865e-07,-2.4918605872133233e-08
5.568104398652195e-06,5.261906401697775e-06,4.6896071153657925e-06,3.928002298874805e-06,3.0674609491496847e-06,2.2081816714653984e-06,1.433332430580632e-06,7.86610441994143e-07,3.0620267836346825e-07,-1.1248479795312362e-08
4.65877684632462e-06,4.404084649115714e-06,3.928002298874805e-06,3.2942171925281134e-06,2.5777940991716004e-06,1.8618790131869297e-06,1.2156192203507916e-06,6.753398565727227e-07,2.7308600756653395e-07,6.106824075220223e-09
3.631697118137792e-06,3.435069538492011e-06,3.0674609491496847e-06,2.5777940991716004e-06,2.023891639932088e-06,1.4696847004743364e-06,9.685221336628478e-07,5.484124854858536e-07,2.3446301881222724e-07,2.459785079889886e-08
2.6067867486735597e-06,2.46790506863139e-06,2.2081816714653984e-06,1.8618790131869297e-06,1.4696847004743364e-06,1.0764535961822607e-06,7.19810428297745e-07,4.1951611490744114e-07,1.9372265506473366e-07,4.10319562197951e-08
1.6834239531724877e-06,1.5963178697390949e-06,1.433332430580632e-06,1.2156192203507916e-06,9.685221336628478e-07,7.19810428297745e-07,4.930458514694987e-07,3.005551460770309e-07,1.5424847761259421e-07,5.330230697134758e-08
9.13826052481727e-07,8.695534302909986e-07,7.86610441994143e-07,6.753398565727227e-07,5.484124854858536e-07,4.1951611490744114e-07,3.005551460770309e-07,1.9775492777154485e-07,1.1775855130601612e-07,6.023528717916799e-08
3.432626050342632e-07,3.3041397522194865e-07,3.0620267836346825e-07,2.7308600756653395e-07,2.3446301881222724e-07,1.9372265506473366e-07,1.5424847761259421e-07,1.1775855130601612e-07,8.700556157864313e-08,6.198600129360863e-08
-3.233034611885241e-08,-2.4918605872133233e-08,-1.1248479795312362e-08,6.106824075220223e-09,2.459785079889886e-08,4.10319562197951e-08,5.330230697134758e-08,6.023528717916799e-08,6.198600129360863e-08,5.8756076065001935e-08
