0,1,2,3,4,5,6,7,8,9,10,11
1.3784583661657957e-06,1.3077599570017886e-06,1.173638315925873e-06,9.93644286441251e-07,7.893935186222947e-07,5.822320934432638e-07,3.927722644769626e-07,2.3355762296886655e-07,1.1111031445487773e-07,2.6825153359371373e-08,-2.331584297834424e-08,-4.667117187351419e-08
1.3077599570017886e-06,1.2410741573740383e-06,1.1144572554686908e-06,9.444424839845361e-07,7.514301494344546e-07,5.554774307120974e-07,3.7611564510762966e-07,2.2522296888967605e-07,1.0893738808880412e-07,2.8622532232532108e-08,-1.944492668054431e-08,-4.217821936260804e-08
1.173638315925873e-06,1.1144572554686908e-06,1.0019449880732593e-06,8.507046378452411e-07,6.788444516902564e-07,5.040345818565886e-07,3.4375269411023686e-07,2.086175609337022e-07,1.0405170205854267e-07,3.13511589041352e-08,-1.2669233853375186e-08,-3.409214562242908e-08
9.93644286441251e-07,9.444424839845361e-07,8.507046378452411e-07,7.244841675502408e-07,5.808322467839415e-07,4.342623928075689e-07,2.9949921068590404e-07,1.85476149158211e-07,9.666877587369723e-08,3.427264947407858e-08,-4.196566280043626e-09,-2.3723116510178275e-08
7.893935186222947e-07,7.514301494344546e-07,6.788444516902564e-07,5.808322467839415e-07,4.690113550297748e-07,3.543486077550499e-07,2.4845146486530646e-07,1.5834880657811091e-07,8.745302843995139e-08,3.6835207155557033e-08,4.785295921889508e-09,-1.2451222331814149e-08
5.822320934432638e-07,5.554774307120974e-07,5.040345818565886e-07,4.342623928075689e-07,3.543486077550499e-07,2.7176563484607775e-07,1.9496299202084135e-07,1.2904703877054292e-07,7.638023935815357e-08,3.7887146745010536e-08,1.2598127469826126e-08,-2.0281666023089673e-09
3.927722644769626e-07,3.7611564510762966e-07,3.4375269411023686e-07,2.9949921068590404e-07,2.4845146486530646e-07,1.9496299202084135e-07,1.446118050028512e-07,1.00750619291288e-07,6.480274853886612e-08,3.75418424182444e-08,1.8639319948373572e-08,6.635396307878546e-09
2.3355762296886655e-07,2.2522296888967605e-07,2.086175609337022e-07,1.85476149158211e-07,1.5834880657811091e-07,1.2904703877054292e-07,1.00750619291288e-07,7.535283700980686e-08,5.350521501202084e-08,3.58369623171871e-08,2.2519736406400953e-08,1.2972379960196855e-08
1.1111031445487773e-07,1.0893738808880412e-07,1.0405170205854267e-07,9.666877587369723e-08,8.745302843995139e-08,7.638023935815357e-08,6.480274853886612e-08,5.350521501202084e-08,4.2578187849140626e-08,3.251261646528934e-08,2.3808904479774246e-08,1.6517742796777338e-08
2.6825153359371373e-08,2.8622532232532108e-08,3.13511589041352e-08,3.427264947407858e-08,3.6835207155557033e-08,3.7887146745010536e-08,3.75418424182444e-08,3.58369623171871e-08,3.251261646528934e-08,2.7935428697565063e-08,2.2767726974919574e-08,1.744571451633292e-08
-2.331584297834424e-08,-1.944492668054431e-08,-1.2669233853375186e-08,-4.196566280043626e-09,4.785295921889508e-09,1.2598127469826126e-08,1.8639319948373572e-08,2.2519736406400953e-08,2.3808904479774246e-08,2.2767726974919574e-08,2.0087174123187058e-08,1.637970824108332e-08
-4.667117187351419e-08,-4.217821936260804e-08,-3.409214562242908e-08,-2.3723116510178275e-08,-1.2451222331814149e-08,-2.0281666023089673e-09,6.635396307878546e-09,1.2972379960196855e-08,1.6517742796777338e-08,1.744571451633292e-08,1.637970824108332e-08,1.3951637914640698e-08
