0,1,2,3,4,5,6,7,8,9,10
3.810946381897434e-07,3.617031595061552e-07,3.249655726548769e-07,2.7481238562021413e-07,2.2039274784849002e-07,1.6443181339206406e-07,1.1266060509246946e-07,6.816823931331835e-08,3.4210245536817297e-08,9.471243116622896e-09,-1.1336198288693776e-08
3.617031595061552e-07,3.4333768628875663e-07,3.085353514009865e-07,2.6100869046934555e-07,2.0945707959240978e-07,1.5642607270378522e-07,1.0734710405058462e-07,6.513953514973419e-08,3.290309557244375e-08,9.382410566869902e-09,-1.0477385709725964e-08
3.249655726548769e-07,3.085353514009865e-07,2.7739273695491667e-07,2.348300311096369e-07,1.886938813336182e-07,1.4120088879558465e-07,9.72134533181241e-08,5.933206891015711e-08,3.035886338460463e-08,9.15411082084794e-09,-8.891437431825823e-09
2.7481238562021413e-07,2.6100869046934555e-07,2.348300311096369e-07,1.9904285937858358e-07,1.6026664946057256e-07,1.2030367032643703e-07,8.324878116176771e-08,5.1267779964661444e-08,2.6748777538546925e-08,8.7222230355235e-09,-6.812515969746386e-09
2.2039274784849002e-07,2.0945707959240978e-07,1.886938813336182e-07,1.6026664946057256e-07,1.2953845266388526e-07,9.77836888488833e-08,6.827711286941793e-08,4.270445767941581e-08,2.301778863864355e-08,8.41418832436228e-09,-4.446056898679153e-09
1.6443181339206406e-07,1.5642607270378522e-07,1.4120088879558465e-07,1.2030367032643703e-07,9.77836888488833e-08,7.443180108348027e-08,5.265572448157987e-08,3.366314218646978e-08,1.8949796363861348e-08,7.888826110192718e-09,-2.160204285776195e-09
1.1266060509246946e-07,1.0734710405058462e-07,9.72134533181241e-08,8.324878116176771e-08,6.827711286941793e-08,5.265572448157987e-08,3.8004301332509666e-08,2.5089582936993078e-08,1.4980049909419996e-08,7.218041062517245e-09,-1.7648493366194861e-10
6.816823931331835e-08,6.513953514973419e-08,5.933206891015711e-08,5.1267779964661444e-08,4.270445767941581e-08,3.366314218646978e-08,2.5089582936993078e-08,1.738356610247892e-08,1.123623341882567e-08,6.342816944846903e-09,1.3165061444769161e-09
3.4210245536817297e-08,3.290309557244375e-08,3.035886338460463e-08,2.6748777538546925e-08,2.301778863864355e-08,1.8949796363861348e-08,1.4980049909419996e-08,1.123623341882567e-08,8.117680950795816e-09,5.436731139394005e-09,2.284925924987444e-09
9.471243116622896e-09,9.382410566869902e-09,9.15411082084794e-09,8.7222230355235e-09,8.41418832436228e-09,7.888826110192718e-09,7.218041062517245e-09,6.342816944846903e-09,5.436731139394005e-09,4.410847506852533e-09,2.731527453036373e-09
-1.1336198288693776e-08,-1.0477385709725964e-08,-8.891437431825823e-09,-6.812515969746386e-09,-4.446056898679153e-09,-2.160204285776195e-09,-1.7648493366194861e-10,1.3165061444769161e-09,2.284925924987444e-09,2.731527453036373e-09,2.521262209267836e-09
