0,1,2,3,4,5,6,7,8,9
0.00012919873470585783,0.00012336730238714496,0.00011239591888335834,9.756939261231293e-05,8.048629943953285e-05,6.313968282493527e-05,4.653616171782912e-05,3.1795171508840675e-05,2.0038185640714623e-05,1.1258404894170722e-05
0.00012336730238714496,0.0001178062341957682,0.00010734302332799578,9.320210744798778e-05,7.69072994401437e-05,6.035750746438425e-05,4.451275880983181e-05,3.044290999671789e-05,1.921645182735536e-05,1.082728978074122e-05
0.00011239591888335834,0.00010734302332799578,9.78350005435958e-05,8.498287100184676e-05,7.016996916544138e-05,5.511838449782776e-05,4.070056538949873e-05,2.7893020851693455e-05,1.766472790004583e-05,1.001088503511573e-05
9.756939261231293e-05,9.320210744798778e-05,8.498287100184676e-05,7.386980925384272e-05,6.105682979246648e-05,4.8027728613824805e-05,3.553678218269066e-05,2.4434195618115328e-05,1.555484754533563e-05,8.8956095161667e-06
8.048629943953285e-05,7.69072994401437e-05,7.016996916544138e-05,6.105682979246648e-05,5.054416489090889e-05,3.9842175649189694e-05,2.9569228557696828e-05,2.0429726683742813e-05,1.310470999580206e-05,7.592820622612218e-06
6.313968282493527e-05,6.035750746438425e-05,5.511838449782776e-05,4.8027728613824805e-05,3.9842175649189694e-05,3.149655031306276e-05,2.3471022497110436e-05,1.6321625639294754e-05,1.057514758893528e-05,6.2312124226940886e-06
4.653616171782912e-05,4.451275880983181e-05,4.070056538949873e-05,3.553678218269066e-05,2.9569228557696828e-05,2.3471022497110436e-05,1.759213594636232e-05,1.2344495921963093e-05,8.108883092721066e-06,4.886004426352646e-06
3.1795171508840675e-05,3.044290999671789e-05,2.7893020851693455e-05,2.4434195618115328e-05,2.0429726683742813e-05,1.6321625639294754e-05,1.2344495921963093e-05,8.784469925047721e-06,5.890188390463075e-06,3.664591595591259e-06
2.0038185640714623e-05,1.921645182735536e-05,1.766472790004583e-05,1.555484754533563e-05,1.310470999580206e-05,1.057514758893528e-05,8.108883092721066e-06,5.890188390463075e-06,4.066133585000721e-06,2.6397958531664634e-06
1.1258404894170722e-05,1.082728978074122e-05,1.001088503511573e-05,8.8956095161667e-06,7.592820622612218e-06,6.2312124226940886e-06,4.886004426352646e-06,3.664591595591259e-06,2.6397958531664634e-06,1.8147399113828227e-06
