0,1,2,3,4,5,6,7,8,9,10
0.00010878185791244573,0.0001039383858890821,9.481961671325901e-05,8.248181440451369e-05,6.823590561983464e-05,5.333882234105502e-05,3.959324984374397e-05,2.7314180822081297e-05,1.7308287334405632e-05,9.805144276886408e-06,4.653537354040387e-06
0.0001039383858890821,9.931543698824902e-05,9.06115084813215e-05,7.883422876113032e-05,6.523442925993163e-05,5.101196114793719e-05,3.788402877008005e-05,2.6155911080227384e-05,1.6595593902443656e-05,9.423073704080295e-06,4.494796568741671e-06
9.481961671325901e-05,9.06115084813215e-05,8.26879906538645e-05,7.196523487678965e-05,5.9581047430604296e-05,4.6627902226911094e-05,3.466239511906812e-05,2.3971267933560397e-05,1.5249836839077202e-05,8.700021330378852e-06,4.192627100638056e-06
8.248181440451369e-05,7.883422876113032e-05,7.196523487678965e-05,6.26675185358641e-05,5.1926233517420885e-05,4.068873714603867e-05,3.0295125895626047e-05,2.1006422497993143e-05,1.3420020342757505e-05,7.713289560466759e-06,3.7763164651578845e-06
6.823590561983464e-05,6.523442925993163e-05,5.9581047430604296e-05,5.1926233517420885e-05,4.307934819419433e-05,3.382018759285067e-05,2.5240344969300032e-05,1.7570099747954748e-05,1.1294257567358818e-05,6.561828950002704e-06,3.284912006897698e-06
5.333882234105502e-05,5.101196114793719e-05,4.6627902226911094e-05,4.068873714603867e-05,3.382018759285067e-05,2.6628211552819184e-05,1.994296914231179e-05,1.3964473905294565e-05,9.059297538305572e-06,5.346464362944733e-06,2.7610793330615425e-06
3.959324984374397e-05,3.788402877008005e-05,3.466239511906812e-05,3.0295125895626047e-05,2.5240344969300032e-05,1.994296914231179e-05,1.5002826971558616e-05,1.0580275718591777e-05,6.939400608021699e-06,4.170717723046213e-06,2.229298878051525e-06
2.7314180822081297e-05,2.6155911080227384e-05,2.3971267933560397e-05,2.1006422497993143e-05,1.7570099747954748e-05,1.3964473905294565e-05,1.0580275718591777e-05,7.547987731726594e-06,5.036837424816154e-06,3.112313596867363e-06,1.7473597111937192e-06
1.7308287334405632e-05,1.6595593902443656e-05,1.5249836839077202e-05,1.3420020342757505e-05,1.1294257567358818e-05,9.059297538305572e-06,6.939400608021699e-06,5.036837424816154e-06,3.446233933548394e-06,2.2119635713923082e-06,1.3209095960115978e-06
9.805144276886408e-06,9.423073704080295e-06,8.700021330378852e-06,7.713289560466759e-06,6.561828950002704e-06,5.346464362944733e-06,4.170717723046213e-06,3.112313596867363e-06,2.2119635713923082e-06,1.4978270497494273e-06,9.665279948385473e-07
4.653537354040387e-06,4.494796568741671e-06,4.192627100638056e-06,3.7763164651578845e-06,3.284912006897698e-06,2.7610793330615425e-06,2.229298878051525e-06,1.7473597111937192e-06,1.3209095960115978e-06,9.665279948385473e-07,6.86824101132351e-07
