0,1,2,3,4,5,6,7,8,9
1.132590544966413e-06,2.3071058781568115e-06,2.250338182475048e-06,1.9009809116075352e-06,1.5794787678738373e-06,1.3065115305351442e-06,1.0971969466377849e-06,8.548776482016605e-07,6.293707151934705e-07,4.5437825555248486e-07
2.3071058781568115e-06,4.756003746487433e-06,4.695370961951279e-06,3.999089988450647e-06,3.340594894347982e-06,2.7741595824667547e-06,2.3335703733776983e-06,1.8236328365190384e-06,1.3447979866782137e-06,9.736413110897219e-07
2.250338182475048e-06,4.695370961951279e-06,4.699239771706898e-06,4.044856522448989e-06,3.4024583258091608e-06,2.8405167032770156e-06,2.396358691734246e-06,1.8811095682454603e-06,1.39212465359216e-06,1.0125463454320553e-06
1.9009809116075352e-06,3.999089988450647e-06,4.044856522448989e-06,3.5165923804980954e-06,2.9772950999239223e-06,2.497063729634863e-06,2.111689800719538e-06,1.6640734018055305e-06,1.2346927519829765e-06,9.019058684809568e-07
1.5794787678738373e-06,3.340594894347982e-06,3.4024583258091608e-06,2.9772950999239223e-06,2.53162177032099e-06,2.1301539188386023e-06,1.804947992639264e-06,1.4265231463806478e-06,1.0611147601394926e-06,7.776701465232895e-07
1.3065115305351442e-06,2.7741595824667547e-06,2.8405167032770156e-06,2.497063729634863e-06,2.1301539188386023e-06,1.79710930948075e-06,1.525740059948551e-06,1.2090217690420339e-06,9.019511216178917e-07,6.629402790210833e-07
1.0971969466377849e-06,2.3335703733776983e-06,2.396358691734246e-06,2.111689800719538e-06,1.804947992639264e-06,1.525740059948551e-06,1.2978957881556017e-06,1.0308093283705169e-06,7.715602603632292e-07,5.68494399717895e-07
8.548776482016605e-07,1.8236328365190384e-06,1.8811095682454603e-06,1.6640734018055305e-06,1.4265231463806478e-06,1.2090217690420339e-06,1.0308093283705169e-06,8.210105871412352e-07,6.167700228350703e-07,4.5587445251451653e-07
6.293707151934705e-07,1.3447979866782137e-06,1.39212465359216e-06,1.2346927519829765e-06,1.0611147601394926e-06,9.019511216178917e-07,7.715602603632292e-07,6.167700228350703e-07,4.660638879274826e-07,3.458281662455289e-07
4.5437825555248486e-07,9.736413110897219e-07,1.0125463454320553e-06,9.019058684809568e-07,7.776701465232895e-07,6.629402790210833e-07,5.68494399717895e-07,4.5587445251451653e-07,3.458281662455289e-07,2.575506430796464e-07
