0,1,2,3,4,5,6,7,8,9,10
6.657567753462963e-09,1.4694212486695719e-08,1.5894839437585912e-08,1.477859497999577e-08,1.3229216943057726e-08,1.161710230361058e-08,1.022224921540371e-08,8.544118566125305e-09,6.8139748295340934e-09,5.316398444736625e-09,2.978962996004844e-09
1.4694212486695719e-08,3.256742375754803e-08,3.5416934448060634e-08,3.30145993056645e-08,2.958297269676972e-08,2.6042120098388394e-08,2.2950611296724995e-08,1.9176345596175335e-08,1.529160847606544e-08,1.1936687867055538e-08,6.685746897152693e-09
1.5894839437585912e-08,3.5416934448060634e-08,3.8805071363549163e-08,3.630448799382794e-08,3.257399243691169e-08,2.8786577392791765e-08,2.5432967697813525e-08,2.123827263097489e-08,1.693477942934613e-08,1.3233669411304914e-08,7.4135067619437305e-09
1.477859497999577e-08,3.30145993056645e-08,3.630448799382794e-08,3.403407529633792e-08,3.056727523360261e-08,2.7064339985641937e-08,2.3942347323969266e-08,1.9997977798701758e-08,1.595347226770927e-08,1.247791850602949e-08,6.997673258239054e-09
1.3229216943057726e-08,2.958297269676972e-08,3.257399243691169e-08,3.056727523360261e-08,2.7473200420412996e-08,2.4340703980619414e-08,2.154383108262656e-08,1.8004917712880665e-08,1.4372883289084301e-08,1.1248710091807678e-08,6.316209544814406e-09
1.161710230361058e-08,2.6042120098388394e-08,2.8786577392791765e-08,2.7064339985641937e-08,2.4340703980619414e-08,2.1615414331634345e-08,1.9161283320694088e-08,1.600854728215428e-08,1.2780213719619691e-08,1.0011083083621666e-08,5.625614715457104e-09
1.022224921540371e-08,2.2950611296724995e-08,2.5432967697813525e-08,2.3942347323969266e-08,2.154383108262656e-08,1.9161283320694088e-08,1.7003720223046276e-08,1.420480420348505e-08,1.1342459148649805e-08,8.891166759343039e-09,5.000535542480547e-09
8.544118566125305e-09,1.9176345596175335e-08,2.123827263097489e-08,1.9997977798701758e-08,1.8004917712880665e-08,1.600854728215428e-08,1.420480420348505e-08,1.187830078981168e-08,9.49364608661707e-09,7.445908306329306e-09,4.194838907473007e-09
6.8139748295340934e-09,1.529160847606544e-08,1.693477942934613e-08,1.595347226770927e-08,1.4372883289084301e-08,1.2780213719619691e-08,1.1342459148649805e-08,9.49364608661707e-09,7.595182828906774e-09,5.961414492776794e-09,3.365250310276377e-09
5.316398444736625e-09,1.1936687867055538e-08,1.3233669411304914e-08,1.247791850602949e-08,1.1248710091807678e-08,1.0011083083621666e-08,8.891166759343039e-09,7.445908306329306e-09,5.961414492776794e-09,4.683459781585239e-09,2.6489410203548408e-09
2.978962996004844e-09,6.685746897152693e-09,7.4135067619437305e-09,6.997673258239054e-09,6.316209544814406e-09,5.625614715457104e-09,5.000535542480547e-09,4.194838907473007e-09,3.365250310276377e-09,2.6489410203548408e-09,1.5053809244802325e-09
