0,1,2,3,4,5,6,7,8,9,10,11
1.4207550630462105e-06,1.349031954804573e-06,1.2129792992594314e-06,1.028631515140128e-06,8.105677926935323e-07,5.945853880532353e-07,3.9826071698543355e-07,2.3595257808545535e-07,1.1083316451861303e-07,2.4754149507070426e-08,-2.4353734524629935e-08,-4.715946311015483e-08
1.349031954804573e-06,1.2813462809265925e-06,1.1528451461896268e-06,9.785820961170882e-07,7.720914458807105e-07,5.675314487703248e-07,3.8147113186137614e-07,2.2755990273084782e-07,1.0866695251335259e-07,2.6601701464508252e-08,-2.045767379266373e-08,-4.26546810329538e-08
1.2129792992594314e-06,1.1528451461896268e-06,1.0385368045459997e-06,8.832469421538119e-07,6.985390572924844e-07,5.155246222902297e-07,3.488576109143373e-07,2.1084515543340364e-07,1.0379391949329155e-07,2.9424877798367984e-08,-1.3634597038588179e-08,-3.454631483230649e-08
1.028631515140128e-06,9.785820961170882e-07,8.832469421538119e-07,7.534251076782218e-07,5.98347306448237e-07,4.444808631747853e-07,3.040391808793143e-07,1.8745722211585928e-07,9.643952137112024e-08,3.255954441479777e-08,-5.055095469620633e-09,-2.412702410646894e-08
8.105677926935323e-07,7.720914458807105e-07,6.985390572924844e-07,5.98347306448237e-07,4.796114707719452e-07,3.6053282697419657e-07,2.511990552497259e-07,1.5954775211682138e-07,8.731428359361307e-08,3.5798435813927376e-08,4.265713976296724e-09,-1.2695667246755009e-08
5.945853880532353e-07,5.675314487703248e-07,5.155246222902297e-07,4.444808631747853e-07,3.6053282697419657e-07,2.7537357350266376e-07,1.9656596520292378e-07,1.297465162313131e-07,7.629929415282247e-08,3.7282283419673495e-08,1.229499788784681e-08,-2.170778341441777e-09
3.9826071698543355e-07,3.8147113186137614e-07,3.488576109143373e-07,3.040391808793143e-07,2.511990552497259e-07,1.9656596520292378e-07,1.4532399089819204e-07,1.0106139054263368e-07,6.476678534610862e-08,3.727310733662917e-08,1.850464232858596e-08,6.572035254645911e-09
2.3595257808545535e-07,2.2755990273084782e-07,2.1084515543340364e-07,1.8745722211585928e-07,1.5954775211682138e-07,1.297465162313131e-07,1.0106139054263368e-07,7.548844594462965e-08,5.348952202162501e-08,3.5719696392460964e-08,2.2460968137184352e-08,1.294473156961723e-08
1.1083316451861303e-07,1.0866695251335259e-07,1.0379391949329155e-07,9.643952137112024e-08,8.731428359361307e-08,7.629929415282247e-08,6.476678534610862e-08,5.348952202162501e-08,4.258000387953629e-08,3.252618675866927e-08,2.3815705284497037e-08,1.6520942334686786e-08
2.4754149507070426e-08,2.6601701464508252e-08,2.9424877798367984e-08,3.255954441479777e-08,3.5798435813927376e-08,3.7282283419673495e-08,3.727310733662917e-08,3.5719696392460964e-08,3.252618675866927e-08,2.8036832761536576e-08,2.2818546011609488e-08,1.7469623074369654e-08
-2.4353734524629935e-08,-2.045767379266373e-08,-1.3634597038588179e-08,-5.055095469620633e-09,4.265713976296724e-09,1.229499788784681e-08,1.850464232858596e-08,2.2460968137184352e-08,2.3815705284497037e-08,2.2818546011609488e-08,2.0112642278889546e-08,1.6391690106902946e-08
-4.715946311015483e-08,-4.26546810329538e-08,-3.454631483230649e-08,-2.412702410646894e-08,-1.2695667246755009e-08,-2.170778341441777e-09,6.572035254645911e-09,1.294473156961723e-08,1.6520942334686786e-08,1.7469623074369654e-08,1.6391690106902946e-08,1.3957274958413975e-08
