0,1,2,3,4,5,6,7,8,9,10
3.8124009673677686e-07,3.6184135883580745e-07,3.251051170297656e-07,2.75099500930276e-07,2.2053450826062407e-07,1.6444194278719368e-07,1.1264676969116463e-07,6.815980275289883e-08,3.419299478303766e-08,9.445388197035799e-09,-1.139529782892421e-08
3.6184135883580745e-07,3.4346898867768954e-07,3.086679317096697e-07,2.612814770755132e-07,2.095917653453454e-07,1.5643569658388903e-07,1.0733395911531067e-07,6.51315196221607e-08,3.2886705730410014e-08,9.357845956346752e-09,-1.053353584328051e-08
3.251051170297656e-07,3.086679317096697e-07,2.775266076208917e-07,2.351054726514415e-07,1.888298779353901e-07,1.412106063415124e-07,9.720018044784044e-08,5.932397537028637e-08,3.0342314026030436e-08,9.129307131651517e-09,-8.948134054787204e-09
2.75099500930276e-07,2.612814770755132e-07,2.351054726514415e-07,1.9960958579619837e-07,1.605464651573081e-07,1.203236643692947e-07,8.322147196876068e-08,5.1251127346371907e-08,2.6714726906107344e-08,8.671188954644386e-09,-6.929170392355476e-09
2.2053450826062407e-07,2.095917653453454e-07,1.888298779353901e-07,1.605464651573081e-07,1.2967660896242013e-07,9.779356071449416e-08,6.826362921905143e-08,4.269623560992282e-08,2.300097646764848e-08,8.388990739681922e-09,-4.503653893499021e-09
1.6444194278719368e-07,1.5643569658388903e-07,1.412106063415124e-07,1.203236643692947e-07,9.779356071449416e-08,7.443250647101358e-08,5.2654761016390263e-08,3.366255468401104e-08,1.894859506146363e-08,7.887025633686627e-09,-2.1643198403942396e-09
1.1264676969116463e-07,1.0733395911531067e-07,9.720018044784044e-08,8.322147196876068e-08,6.826362921905143e-08,5.2654761016390263e-08,3.8005617297320056e-08,2.509038538691036e-08,1.498169072810147e-08,7.220500273031085e-09,-1.708636355485282e-10
6.815980275289883e-08,6.51315196221607e-08,5.932397537028637e-08,5.1251127346371907e-08,4.269623560992282e-08,3.366255468401104e-08,2.509038538691036e-08,1.738405542093537e-08,1.1237233958357453e-08,6.344316523906963e-09,1.3199339034645215e-09
3.419299478303766e-08,3.2886705730410014e-08,3.0342314026030436e-08,2.6714726906107344e-08,2.300097646764848e-08,1.894859506146363e-08,1.498169072810147e-08,1.1237233958357453e-08,8.119726815490841e-09,5.439797420894026e-09,2.2919348745321494e-09
9.445388197035799e-09,9.357845956346752e-09,9.129307131651517e-09,8.671188954644386e-09,8.388990739681922e-09,7.887025633686627e-09,7.220500273031085e-09,6.344316523906963e-09,5.439797420894026e-09,4.4154431588818435e-09,2.7420322593296673e-09
-1.139529782892421e-08,-1.053353584328051e-08,-8.948134054787204e-09,-6.929170392355476e-09,-4.503653893499021e-09,-2.1643198403942396e-09,-1.708636355485282e-10,1.3199339034645215e-09,2.2919348745321494e-09,2.7420322593296673e-09,2.5452742438074144e-09
