0,1,2,3,4,5,6,7,8,9,10,11,12
0.00014968554246490585,0.00016877235736904603,0.00015519309292516916,0.00012925527980531704,0.00010157824232412383,7.842493812267719e-05,6.107266226128811e-05,4.9373624068823294e-05,3.8138400754096324e-05,3.2781616755554035e-05,2.628940005137241e-05,2.093078846559061e-05,1.6296961152707802e-05
0.00016877235736904603,0.00019555469512556978,0.00018507649849164504,0.00015891586499746112,0.00012923017254106857,0.00010338413873596678,8.327006636236166e-05,6.908914985487635e-05,5.5370728229312966e-05,4.825632089845414e-05,4.004654392767548e-05,3.313355725320021e-05,2.7147940802321284e-05
0.00015519309292516916,0.00018507649849164504,0.0001803230397099526,0.0001594304284015529,0.0001337271230833388,0.00011027290035152768,9.125710931343117e-05,7.723927775789714e-05,6.359495604395361e-05,5.59624081426125e-05,4.752092235048967e-05,4.028835327355824e-05,3.4016427972204395e-05
0.00012925527980531704,0.00015891586499746112,0.0001594304284015529,0.00014496548840967608,0.00012506570381486676,0.00010585899205259104,8.95741378148899e-05,7.702294966965952e-05,6.473804124449098e-05,5.738036561215424e-05,4.953659663814634e-05,4.271420382307316e-05,3.6787637208606727e-05
0.00010157824232412383,0.00012923017254106857,0.0001337271230833388,0.00012506570381486676,0.00011083666668626077,9.60700854616967e-05,8.288144120925108e-05,7.223027820660721e-05,6.174783310943843e-05,5.505011584075569e-05,4.8142233726392055e-05,4.2053684700934444e-05,3.6755946455242646e-05
7.842493812267719e-05,0.00010338413873596678,0.00011027290035152768,0.00010585899205259104,9.60700854616967e-05,8.4962456824449e-05,7.446887373883998e-05,6.559980197521071e-05,5.682388595304537e-05,5.089164830668797e-05,4.493849792760337e-05,3.96325869554264e-05,3.500864938467844e-05
6.107266226128811e-05,8.327006636236166e-05,9.125710931343117e-05,8.95741378148899e-05,8.288144120925108e-05,7.446887373883998e-05,6.60707901975945e-05,5.867854736393999e-05,5.1324490289196624e-05,4.6124524091184406e-05,4.101488241552001e-05,3.6419102997646454e-05,3.240681701694502e-05
4.9373624068823294e-05,6.908914985487635e-05,7.723927775789714e-05,7.702294966965952e-05,7.223027820660721e-05,6.559980197521071e-05,5.867854736393999e-05,5.240146998477302e-05,4.612832806945584e-05,4.155355552399166e-05,3.711793572377174e-05,3.310489001799388e-05,2.959514527699259e-05
3.8138400754096324e-05,5.5370728229312966e-05,6.359495604395361e-05,6.473804124449098e-05,6.174783310943843e-05,5.682388595304537e-05,5.1324490289196624e-05,4.612832806945584e-05,4.0970725368417935e-05,3.695473153483481e-05,3.3178522486440696e-05,2.9737710671810276e-05,2.6724979465037095e-05
3.2781616755554035e-05,4.825632089845414e-05,5.59624081426125e-05,5.738036561215424e-05,5.505011584075569e-05,5.089164830668797e-05,4.6124524091184406e-05,4.155355552399166e-05,3.695473153483481e-05,3.3417661708796605e-05,3.006164888605563e-05,2.6994788816069067e-05,2.4305157184825982e-05
2.628940005137241e-05,4.004654392767548e-05,4.752092235048967e-05,4.953659663814634e-05,4.8142233726392055e-05,4.493849792760337e-05,4.101488241552001e-05,3.711793572377174e-05,3.3178522486440696e-05,3.006164888605563e-05,2.714027958974858e-05,2.445292205330303e-05,2.2091913590400023e-05
2.093078846559061e-05,3.313355725320021e-05,4.028835327355824e-05,4.271420382307316e-05,4.2053684700934444e-05,3.96325869554264e-05,3.6419102997646454e-05,3.310489001799388e-05,2.9737710671810276e-05,2.6994788816069067e-05,2.445292205330303e-05,2.210367773406618e-05,2.0036388228357762e-05
1.6296961152707802e-05,2.7147940802321284e-05,3.4016427972204395e-05,3.6787637208606727e-05,3.6755946455242646e-05,3.500864938467844e-05,3.240681701694502e-05,2.959514527699259e-05,2.6724979465037095e-05,2.4305157184825982e-05,2.2091913590400023e-05,2.0036388228357762e-05,1.8226636704959692e-05
