0,1,2,3,4,5,6,7,8,9
8.040087580826335e-09,1.5693737919928563e-08,1.493031341155151e-08,1.2022093714304355e-08,9.556090997660264e-09,7.661477318295764e-09,6.160376880304624e-09,4.634809925289398e-09,3.270412550979647e-09,2.2462615568578337e-09
1.5693737919928563e-08,3.111383046497897e-08,3.014700530891459e-08,2.466966790146993e-08,1.983926354392324e-08,1.6051267506619205e-08,1.3015090564711632e-08,9.873643848944254e-09,7.0442952807611305e-09,4.885738515942071e-09
1.493031341155151e-08,3.014700530891459e-08,2.9841668791436865e-08,2.4882146973656244e-08,2.028367978056186e-08,1.658653245062299e-08,1.357960260250896e-08,1.0403314060486176e-08,7.519432437945769e-09,5.277043470138408e-09
1.2022093714304355e-08,2.466966790146993e-08,2.4882146973656244e-08,2.1090807381117427e-08,1.739966887727629e-08,1.4362096517312089e-08,1.185730761606242e-08,9.16342191511338e-09,6.699363844302731e-09,4.751763397332981e-09
9.556090997660264e-09,1.983926354392324e-08,2.028367978056186e-08,1.739966887727629e-08,1.448124984896148e-08,1.2036274389352386e-08,9.998035150135163e-09,7.77659994903394e-09,5.733979151692602e-09,4.100113747454872e-09
7.661477318295764e-09,1.6051267506619205e-08,1.658653245062299e-08,1.4362096517312089e-08,1.2036274389352386e-08,1.0059803490430722e-08,8.39674388155962e-09,6.564270149633321e-09,4.873046783861544e-09,3.5071111759931356e-09
6.160376880304624e-09,1.3015090564711632e-08,1.357960260250896e-08,1.185730761606242e-08,9.998035150135163e-09,8.39674388155962e-09,7.0381815715393355e-09,5.526614065196228e-09,4.126377659058203e-09,2.9859646425896596e-09
4.634809925289398e-09,9.873643848944254e-09,1.0403314060486176e-08,9.16342191511338e-09,7.77659994903394e-09,6.564270149633321e-09,5.526614065196228e-09,4.361164089479942e-09,3.2761056181926824e-09,2.3846611033886255e-09
3.270412550979647e-09,7.0442952807611305e-09,7.519432437945769e-09,6.699363844302731e-09,5.733979151692602e-09,4.873046783861544e-09,4.126377659058203e-09,3.2761056181926824e-09,2.481545370391436e-09,1.8204346831024046e-09
2.2462615568578337e-09,4.885738515942071e-09,5.277043470138408e-09,4.751763397332981e-09,4.100113747454872e-09,3.5071111759931356e-09,2.9859646425896596e-09,2.3846611033886255e-09,1.8204346831024046e-09,1.3459446867698643e-09
