0,1,2,3,4,5,6,7,8,9,10
5.588207756100555e-11,1.264039450156406e-10,1.4309417191471558e-10,1.3527271437032369e-10,1.2187817900414734e-10,1.0829837729476925e-10,9.616043746856708e-11,8.052583557267417e-11,6.50235782555838e-11,5.133429546288021e-11,2.960065173728015e-11
1.264039450156406e-10,2.8702321857806053e-10,3.2625319018282266e-10,3.093927291143407e-10,2.79333927649964e-10,2.485556722956239e-10,2.2088986959843712e-10,1.8520247177179715e-10,1.496958913558776e-10,1.183049904244918e-10,6.832898924527711e-11
1.4309417191471558e-10,3.2625319018282266e-10,3.7249136201671527e-10,3.5447253513160375e-10,3.2078560718784273e-10,2.8590456456187715e-10,2.5435049810989975e-10,2.135721953650403e-10,1.7284430365423108e-10,1.367820697556806e-10,7.91770512826837e-11
1.3527271437032369e-10,3.093927291143407e-10,3.5447253513160375e-10,3.382712436596308e-10,3.067186139051535e-10,2.737461152516053e-10,2.437611720424782e-10,2.0494569115470808e-10,1.6605383529954067e-10,1.3156851827066435e-10,7.632203818081217e-11
1.2187817900414734e-10,2.79333927649964e-10,3.2078560718784273e-10,3.067186139051535e-10,2.784954417670434e-10,2.4881105959568374e-10,2.217137885100882e-10,1.8659099764580045e-10,1.5131791005709704e-10,1.2000803284757385e-10,6.973753374798704e-11
1.0829837729476925e-10,2.485556722956239e-10,2.8590456456187715e-10,2.737461152516053e-10,2.4881105959568374e-10,2.2246376026119153e-10,1.9834432345031465e-10,1.6704912639100805e-10,1.3556636886472588e-10,1.0759659750393963e-10,6.261462450440796e-11
9.616043746856708e-11,2.2088986959843712e-10,2.5435049810989975e-10,2.437611720424782e-10,2.217137885100882e-10,1.9834432345031465e-10,1.7691306259209039e-10,1.490807274386169e-10,1.210503366391344e-10,9.612940514368523e-11,5.6002676018415006e-11
8.052583557267417e-11,1.8520247177179715e-10,2.135721953650403e-10,2.0494569115470808e-10,1.8659099764580045e-10,1.6704912639100805e-10,1.490807274386169e-10,1.2572261815817834e-10,1.021583519075914e-10,8.118766647605384e-11,4.7367741763267354e-11
6.50235782555838e-11,1.496958913558776e-10,1.7284430365423108e-10,1.6605383529954067e-10,1.5131791005709704e-10,1.3556636886472588e-10,1.210503366391344e-10,1.021583519075914e-10,8.30750100431516e-11,6.607296356032925e-11,3.860877209920399e-11
5.133429546288021e-11,1.183049904244918e-10,1.367820697556806e-10,1.3156851827066435e-10,1.2000803284757385e-10,1.0759659750393963e-10,9.612940514368523e-11,8.118766647605384e-11,6.607296356032925e-11,5.260104375596851e-11,3.078686252622869e-11
2.960065173728015e-11,6.832898924527711e-11,7.91770512826837e-11,7.632203818081217e-11,6.973753374798704e-11,6.261462450440796e-11,5.6002676018415006e-11,4.7367741763267354e-11,3.860877209920399e-11,3.078686252622869e-11,1.807898363253613e-11
