0,1,2,3,4,5,6,7,8,9,10,11
1.7975150992316046e-07,1.7126543558281363e-07,1.5548309974295447e-07,1.3474762384763582e-07,1.1149355927072215e-07,8.851325776806244e-08,6.758588841234882e-08,4.9859193379923435e-08,3.5759523544579135e-08,2.509272706285786e-08,1.7322332863491086e-08,1.1793502821520583e-08
1.7126543558281363e-07,1.6318162727338008e-07,1.48146827822319e-07,1.2839231107479427e-07,1.0623769176821978e-07,8.434491004875794e-08,6.440720220322175e-08,4.7518499173158594e-08,3.408488998454296e-08,2.3921479905494294e-08,1.6517272523005263e-08,1.1248492729324501e-08
1.5548309974295447e-07,1.48146827822319e-07,1.345016695349546e-07,1.1657091020422459e-07,9.646078678893087e-08,7.658974256367825e-08,5.8492110268001404e-08,4.3161560000917725e-08,3.096654550642842e-08,2.1739363823905044e-08,1.5016354449364197e-08,1.023147250751054e-08
1.3474762384763582e-07,1.2839231107479427e-07,1.1657091020422459e-07,1.0103550350784312e-07,8.361069382892553e-08,6.639437596124878e-08,5.071339933268697e-08,3.742941472300876e-08,2.6861509836941223e-08,1.8864517192547188e-08,1.3036886440173939e-08,8.888337044476193e-09
1.1149355927072215e-07,1.0623769176821978e-07,9.646078678893087e-08,8.361069382892553e-08,6.919692153993768e-08,5.495663448727273e-08,4.1985136295917087e-08,3.099580755390544e-08,2.225244174419629e-08,1.563510803796955e-08,1.0811849955082924e-08,7.377294195658555e-09
8.851325776806244e-08,8.434491004875794e-08,7.658974256367825e-08,6.639437596124878e-08,5.495663448727273e-08,4.365884759760773e-08,3.336580660022161e-08,2.464473576930646e-08,1.7704686984202112e-08,1.2450713202671788e-08,8.619706455995515e-09,5.890275000703028e-09
6.758588841234882e-08,6.440720220322175e-08,5.8492110268001404e-08,5.071339933268697e-08,4.1985136295917087e-08,3.336580660022161e-08,2.5511218951367613e-08,1.885528929283654e-08,1.3557285032664514e-08,9.544970048249626e-09,6.617868372673455e-09,4.5310015760265786e-09
4.9859193379923435e-08,4.7518499173158594e-08,4.3161560000917725e-08,3.742941472300876e-08,3.099580755390544e-08,2.464473576930646e-08,1.885528929283654e-08,1.394842223182928e-08,1.0041250728556759e-08,7.0807542192648934e-09,4.919475402090354e-09,3.3771277415147163e-09
3.5759523544579135e-08,3.408488998454296e-08,3.096654550642842e-08,2.6861509836941223e-08,2.225244174419629e-08,1.7704686984202112e-08,1.3557285032664514e-08,1.0041250728556759e-08,7.240211853262914e-09,5.116400351187785e-09,3.5644794773980424e-09,2.4555679171730026e-09
2.509272706285786e-08,2.3921479905494294e-08,2.1739363823905044e-08,1.8864517192547188e-08,1.563510803796955e-08,1.2450713202671788e-08,9.544970048249626e-09,7.0807542192648934e-09,5.116400351187785e-09,3.625645752345215e-09,2.5349653791369695e-09,1.754313620270515e-09
1.7322332863491086e-08,1.6517272523005263e-08,1.5016354449364197e-08,1.3036886440173939e-08,1.0811849955082924e-08,8.619706455995515e-09,6.617868372673455e-09,4.919475402090354e-09,3.5644794773980424e-09,2.5349653791369695e-09,1.7805277483464618e-09,1.239357229906922e-09
1.1793502821520583e-08,1.1248492729324501e-08,1.023147250751054e-08,8.888337044476193e-09,7.377294195658555e-09,5.890275000703028e-09,4.5310015760265786e-09,3.3771277415147163e-09,2.4555679171730026e-09,1.754313620270515e-09,1.239357229906922e-09,8.689276081641471e-10
