0,1,2,3,4,5,6,7,8,9,10
5.862097323508011e-08,5.597056959980235e-08,5.098321446977821e-08,4.4268036253892595e-08,3.6750000584676074e-08,2.9319883891927175e-08,2.248884805631582e-08,1.663813248723723e-08,1.194063388406688e-08,8.358986983455923e-09,3.855252666720469e-09
5.597056959980235e-08,5.344017462531414e-08,4.867839587907508e-08,4.226698937878127e-08,3.5089001215081486e-08,2.7994972101619814e-08,2.1472913385229994e-08,1.5886805001907574e-08,1.1401720566873692e-08,7.981994048007124e-09,3.68176467916039e-09
5.098321446977821e-08,4.867839587907508e-08,4.4341436891776946e-08,3.8501716832626735e-08,3.1963783887446644e-08,2.550230258604128e-08,1.9561727524234265e-08,1.447357145767617e-08,1.0388194549797027e-08,7.2731192099450345e-09,3.355684650021182e-09
4.4268036253892595e-08,4.226698937878127e-08,3.8501716832626735e-08,3.343182727516189e-08,2.7755629906436256e-08,2.2145764510260178e-08,1.6988095549144615e-08,1.2570405337611867e-08,9.023237354125831e-09,6.318402898649164e-09,2.9165045006366613e-09
3.6750000584676074e-08,3.5089001215081486e-08,3.1963783887446644e-08,2.7755629906436256e-08,2.304417789974535e-08,1.8387661877910415e-08,1.4106429246414507e-08,1.0439312235439945e-08,7.494669503545083e-09,5.249115983741158e-09,2.424421315170615e-09
2.9319883891927175e-08,2.7994972101619814e-08,2.550230258604128e-08,2.2145764510260178e-08,1.8387661877910415e-08,1.467336443193511e-08,1.1258309776870313e-08,8.332989257629702e-09,5.983832496487889e-09,4.19220201843574e-09,1.937997407191716e-09
2.248884805631582e-08,2.1472913385229994e-08,1.9561727524234265e-08,1.6988095549144615e-08,1.4106429246414507e-08,1.1258309776870313e-08,8.639558313045305e-09,6.3962004775819405e-09,4.5945093278097236e-09,3.220210807606142e-09,1.4905447122831972e-09
1.663813248723723e-08,1.5886805001907574e-08,1.447357145767617e-08,1.2570405337611867e-08,1.0439312235439945e-08,8.332989257629702e-09,6.3962004775819405e-09,4.7369010781669586e-09,3.4040990509528206e-09,2.387256228220144e-09,1.1069295319340202e-09
1.194063388406688e-08,1.1401720566873692e-08,1.0388194549797027e-08,9.023237354125831e-09,7.494669503545083e-09,5.983832496487889e-09,4.5945093278097236e-09,3.4040990509528206e-09,2.447749340874277e-09,1.7179189703134094e-09,7.98448813786117e-10
8.358986983455923e-09,7.981994048007124e-09,7.2731192099450345e-09,6.318402898649164e-09,5.249115983741158e-09,4.19220201843574e-09,3.220210807606142e-09,2.387256228220144e-09,1.7179189703134094e-09,1.2069410271983368e-09,5.627096230643592e-10
3.855252666720469e-09,3.68176467916039e-09,3.355684650021182e-09,2.9165045006366613e-09,2.424421315170615e-09,1.937997407191716e-09,1.4905447122831972e-09,1.1069295319340202e-09,7.98448813786117e-10,5.627096230643592e-10,2.64838258195441e-10
