0,1,2,3,4,5,6,7,8,9
4.076803012997468e-06,3.8829265615892095e-06,3.5219293563959323e-06,3.0543345525245435e-06,2.5309010115746786e-06,2.0164040731145935e-06,1.5528811825242254e-06,1.1632628949463751e-06,8.553854435100633e-07,6.244080104856238e-07
3.8829265615892095e-06,3.6983720864021892e-06,3.354705566462485e-06,2.9093621754432487e-06,2.410875060974421e-06,1.9209859293863317e-06,1.4795475797965207e-06,1.1084975305005355e-06,8.152651470648435e-07,5.952586634356228e-07
3.5219293563959323e-06,3.354705566462485e-06,3.043279627810028e-06,2.6393469213699367e-06,2.187298123010678e-06,1.7431909022757418e-06,1.342863649612404e-06,1.0063778802357733e-06,7.404133200680771e-07,5.408384510708853e-07
3.0543345525245435e-06,2.9093621754432487e-06,2.6393469213699367e-06,2.2890907409488917e-06,1.897085526292032e-06,1.5120195778923355e-06,1.1648651501660412e-06,8.730732149277123e-07,6.424231000027942e-07,4.6933724087570876e-07
2.5309010115746786e-06,2.410875060974421e-06,2.187298123010678e-06,1.897085526292032e-06,1.5723161604591392e-06,1.2533837516977484e-06,9.65765017235093e-07,7.240192156429048e-07,5.329005781513206e-07,3.894636344002052e-07
2.0164040731145935e-06,1.9209859293863317e-06,1.7431909022757418e-06,1.5120195778923355e-06,1.2533837516977484e-06,9.995849681624476e-07,7.705207726894333e-07,5.780022707883171e-07,4.257434734238921e-07,3.114373447359713e-07
1.5528811825242254e-06,1.4795475797965207e-06,1.342863649612404e-06,1.1648651501660412e-06,9.65765017235093e-07,7.705207726894333e-07,5.941756959829907e-07,4.45972377747351e-07,3.28720235567528e-07,2.406703390323536e-07
1.1632628949463751e-06,1.1084975305005355e-06,1.0063778802357733e-06,8.730732149277123e-07,7.240192156429048e-07,5.780022707883171e-07,4.45972377747351e-07,3.350227932717129e-07,2.4719526822800685e-07,1.8121498656759757e-07
8.553854435100633e-07,8.152651470648435e-07,7.404133200680771e-07,6.424231000027942e-07,5.329005781513206e-07,4.257434734238921e-07,3.28720235567528e-07,2.4719526822800685e-07,1.826195241308623e-07,1.3408243170264615e-07
6.244080104856238e-07,5.952586634356228e-07,5.408384510708853e-07,4.6933724087570876e-07,3.894636344002052e-07,3.114373447359713e-07,2.406703390323536e-07,1.8121498656759757e-07,1.3408243170264615e-07,9.863411154633739e-08
