0,1,2,3,4,5,6,7,8,9,10
4.6936975462886e-06,4.478406885962902e-06,4.086883682361263e-06,3.5601722917036665e-06,2.9653116297961194e-06,2.3812855895316425e-06,1.8442058359385044e-06,1.3881258645285857e-06,1.0223480897548533e-06,7.433948219084367e-07,5.372520945018004e-07
4.478406885962902e-06,4.273010419606832e-06,3.899460040502577e-06,3.3969497673354948e-06,2.829433139030981e-06,2.2722362729235106e-06,1.759821767062874e-06,1.3246827861031949e-06,9.756925459213901e-07,7.095343179050069e-07,5.128391055163683e-07
4.086883682361263e-06,3.899460040502577e-06,3.5585935982079364e-06,3.1000643910816073e-06,2.582230121965319e-06,2.073792463326913e-06,1.6062125727984222e-06,1.2091406868071578e-06,8.906721026197795e-07,6.477821218524973e-07,4.6827277224386994e-07
3.5601722917036665e-06,3.3969497673354948e-06,3.1000643910816073e-06,2.700763987160237e-06,2.249849406616354e-06,1.8070621070813976e-06,1.3998389907639887e-06,1.0540070511213826e-06,7.766119529358416e-07,5.650239199082906e-07,4.0862339447403097e-07
2.9653116297961194e-06,2.829433139030981e-06,2.582230121965319e-06,2.249849406616354e-06,1.8745632245778302e-06,1.5059503395315123e-06,1.1669155589236256e-06,8.789678248335262e-07,6.479675645492791e-07,4.7173010344458637e-07,3.414211508915928e-07
2.3812855895316425e-06,2.2722362729235106e-06,2.073792463326913e-06,1.8070621070813976e-06,1.5059503395315123e-06,1.2101154104881782e-06,9.379896535912816e-07,7.068471171366497e-07,5.213854142045077e-07,3.798560685643783e-07,2.751743835697649e-07
1.8442058359385044e-06,1.759821767062874e-06,1.6062125727984222e-06,1.3998389907639887e-06,1.1669155589236256e-06,9.379896535912816e-07,7.273843029529193e-07,5.484731535068207e-07,4.0488650308127836e-07,2.9527621215408107e-07,2.1416569307037085e-07
1.3881258645285857e-06,1.3246827861031949e-06,1.2091406868071578e-06,1.0540070511213826e-06,8.789678248335262e-07,7.068471171366497e-07,5.484731535068207e-07,4.139091401647393e-07,3.0587883766190416e-07,2.2337410009559422e-07,1.622829550703551e-07
1.0223480897548533e-06,9.756925459213901e-07,8.906721026197795e-07,7.766119529358416e-07,6.479675645492791e-07,5.213854142045077e-07,4.0488650308127836e-07,3.0587883766190416e-07,2.2636056197645915e-07,1.6559499998922936e-07,1.2056374531973249e-07
7.433948219084367e-07,7.095343179050069e-07,6.477821218524973e-07,5.650239199082906e-07,4.7173010344458637e-07,3.798560685643783e-07,2.9527621215408107e-07,2.2337410009559422e-07,1.6559499998922936e-07,1.214089667018961e-07,8.863020345691554e-08
5.372520945018004e-07,5.128391055163683e-07,4.6827277224386994e-07,4.0862339447403097e-07,3.414211508915928e-07,2.751743835697649e-07,2.1416569307037085e-07,1.622829550703551e-07,1.2056374531973249e-07,8.863020345691554e-08,6.491063286669502e-08
