qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.639,0.008195,0.004917,0.01639,0.028
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.394,0.010182,0.006788,0.027152,0.028
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.417,0.010251,0.006834,0.017085,0.028
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.942,0.008826,0.005884,0.020594,0.028
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.472,0.009888,0.004944,0.01236,0.028
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.001,0.006003,0.004002,0.010005,0.028
True,14.5,13.0,16.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.568,0.006272,0.003136,0.00784,0.028
True,18.0,16.0,20.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.205,0.00482,0.00241,0.006025,0.028
True,22.5,20.0,25.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.8833,0.003533,0.001767,0.0053,0.028
True,27.5,25.0,30.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.6456,0.003228,0.001291,0.003228,0.028
True,33.5,30.0,37.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.4657,0.001863,0.000931,0.002328,0.028
True,41.0,37.0,45.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.3144,0.001572,0.000629,0.001886,0.028
True,50.0,45.0,55.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2041,0.00102,0.000408,0.001429,0.028
True,60.0,55.0,65.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1293,0.000905,0.000388,0.001034,0.028
True,70.0,65.0,75.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.08496,0.00068,0.00034,0.000765,0.028
True,80.0,75.0,85.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0577,0.000577,0.000231,0.000519,0.028
True,95.0,85.0,105.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03329,0.000266,0.000133,0.000266,0.028
True,127.5,105.0,150.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01295,0.000104,3.9e-05,9.1e-05,0.028
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.003786,5.7e-05,1.9e-05,3.8e-05,0.028
True,550.0,200.0,900.0,True,91.0,66.0,116.0,True,1.8,1.6,2.0,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00013,3e-06,1e-06,2e-06,0.028
