qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.25,0.0,0.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,3.35,0.54,0.039
True,0.75,0.5,1.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,10.1,1.0,0.039
True,1.25,1.0,1.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,14.8,1.2,0.039
True,1.75,1.5,2.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.4,1.4,0.039
True,2.25,2.0,2.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,20.2,1.4,0.039
True,2.75,2.5,3.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,23.6,1.5,0.039
True,3.25,3.0,3.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,23.6,1.4,0.039
True,3.75,3.5,4.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,23.0,1.4,0.039
True,4.25,4.0,4.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.9,1.3,0.039
True,4.75,4.5,5.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.3,1.2,0.039
True,5.25,5.0,5.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,17.9,1.2,0.039
True,5.75,5.5,6.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,18.0,1.2,0.039
True,6.25,6.0,6.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,14.6,1.0,0.039
True,6.75,6.5,7.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,14.5,1.0,0.039
True,7.25,7.0,7.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,13.5,1.0,0.039
True,7.75,7.5,8.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,13.7,1.0,0.039
