qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,1.0,0.0,2.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.3316,0.005715,0.012
True,3.0,2.0,4.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.743,0.010945,0.012
True,5.0,4.0,6.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.811,0.011947,0.012
True,7.0,6.0,8.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.755,0.011122,0.012
True,9.0,8.0,10.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.674,0.009929,0.012
True,11.0,10.0,12.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.591,0.009456,0.012
True,13.0,12.0,14.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.521,0.008336,0.012
True,16.0,14.0,18.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.423,0.006768,0.012
True,20.0,18.0,22.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.3297,0.005682,0.012
True,25.0,22.0,28.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.2494,0.004298,0.012
True,32.5,28.0,37.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.1733,0.003195,0.012
True,44.5,37.0,52.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.1027,0.002015,0.012
True,68.5,52.0,85.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0462,0.001066,0.012
True,122.5,85.0,160.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.01116,0.000307,0.012
True,205.0,160.0,250.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.0018,5.1e-05,0.012
True,625.0,250.0,1000.0,True,138.0,106.0,170.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,6e-05,2e-06,0.012
