qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.9945,0.164408,4e-06,0.025
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.1864,0.195777,5e-06,0.025
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.9383,0.211216,6e-06,0.025
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.1235,0.205258,6e-06,0.025
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.9163,0.18893,6e-06,0.025
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.5466,0.168512,6e-06,0.025
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.1815,0.147412,5e-06,0.025
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.8699,0.130167,5e-06,0.025
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.5669,0.116194,5e-06,0.025
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.2415,0.105074,4e-06,0.025
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.8907,0.096634,4e-06,0.025
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.5541,0.09007,4e-06,0.025
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,2.0,1.6,2.4,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.2928,0.082436,3e-06,0.025
