qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,1.25,0.0,2.5,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.033355,0.002059,0.0
True,3.75,2.5,5.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.055348,0.002641,0.0
True,6.25,5.0,7.5,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.051878,0.002499,0.0
True,8.75,7.5,10.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.038596,0.002291,0.0
True,11.25,10.0,12.5,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.03548,0.00216,0.0
True,13.75,12.5,15.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.02408,0.001897,0.0
True,16.25,15.0,17.5,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.022501,0.001732,0.0
True,18.75,17.5,20.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.017238,0.001549,0.0
True,25.0,20.0,30.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.011741,0.000482,0.0
True,35.0,30.0,40.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.006512,0.00036,0.0
True,45.0,40.0,50.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.004018,0.00029,0.0
True,60.0,50.0,70.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.002158,0.000145,0.0
True,80.0,70.0,90.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.000889,9.6e-05,0.0
True,100.0,90.0,110.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.00041,6.6e-05,0.0
True,130.0,110.0,150.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,0.000165,2.8e-05,0.0
True,170.0,150.0,190.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,7.6e-05,1.9e-05,0.0
True,220.0,190.0,250.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,9e-06,6e-06,0.0
True,425.0,250.0,600.0,True,91.0,60.0,120.0,True,0.0,0,2.1,8000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.1,2.1,4e-06,2e-06,0.0
