qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,0.25,0.0,0.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.011975,0.003368,0.001741,0.001437,0.12
True,0.75,0.5,1.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.0131,0.001991,0.001608,0.001572,0.12
True,1.25,1.0,1.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.007484,0.001304,0.001279,0.000898,0.12
True,1.75,1.5,2.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.006217,0.000931,0.000905,0.000746,0.12
True,2.25,2.0,2.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.002476,0.000553,0.000522,0.000297,0.12
True,2.75,2.5,3.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.001219,0.000386,0.000326,0.000146,0.12
True,3.25,3.0,3.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.000408,0.000239,0.000182,4.9e-05,0.12
True,3.75,3.5,4.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.000688,0.000198,0.000113,8.3e-05,0.12
True,4.25,4.0,4.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.000627,0.000164,7.7e-05,7.5e-05,0.12
True,4.75,4.5,5.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,9.3e-05,8.8e-05,2.9e-05,1.1e-05,0.12
True,5.25,5.0,5.5,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,9.5e-05,6.6e-05,2.1e-05,1.1e-05,0.12
True,5.75,5.5,6.0,True,6.5,4.8,8.2,True,1.7,1.2,2.2,200.0,1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,0.000127,6.6e-05,1.9e-05,1.5e-05,0.12
