,lambda1,lambda2,lambda3,lambda4,alpha,logx0,sigx,amp,BNP,c0,c1
lambda1,1.0,-0.9506311440823029,0.24764540267753885,0.956849010303313,0.6871165615202631,-0.0819448636970547,-0.30652670078005473,0.20515051514582777,0.9761233951352819,-0.36553782959034836,-0.21952120240878897
lambda2,-0.9506310439263104,1.0,0.06523747817286359,-0.8194349631386949,-0.42772987865188955,-0.2313802601189462,0.5867787458334072,-0.49874527325449236,-0.9953406603886042,0.05864383229645881,-0.09407008517932754
lambda3,0.24764571537145794,0.06523715611311853,1.0,0.5184934297952349,0.8740770869518703,-0.9858855701661084,0.846302202970988,-0.8974390153132217,0.031282034727311434,-0.9923266120082128,-0.9995816468198124
lambda4,0.9568491040889675,-0.8194351481284211,0.5184931538199582,1.0,0.8685908492035925,-0.36801699887206507,-0.01670255738104437,-0.08810670904912339,0.8708827320167769,-0.6202404068392193,-0.4935460289864822
alpha,0.6871167960113698,-0.4277301703852811,0.8740769301653454,0.8685910091345007,1.0,-0.780409287691398,0.4809529918519655,-0.5701314016225076,0.5128924700287154,-0.9274346087554725,-0.8596616283121307
logx0,-0.08194518535890104,-0.2313799461299081,-0.9858856242005284,-0.3680172989686312,-0.780409489495234,1.0,-0.9235424662494317,0.95862775529286,0.1364977620610842,0.9576200833138366,0.9903152853317468
sigx,-0.3065263935691358,0.5867784844896252,0.8463023748993945,-0.016702234678773225,0.48095327481945793,-0.9235425900217326,1.0,-0.9945004942764571,-0.5059681283255498,-0.7739428544021341,-0.8613549535010679
amp,0.20515019926321743,-0.4987449935136984,-0.8974391576894182,-0.08810703054126166,-0.570131666776649,0.9586278471669113,-0.9945004604744818,1.0,0.41284871489172414,0.8360086628442324,0.9098221566769938
BNP,0.976123325029112,-0.995340691508103,0.03128171213799301,0.870882573389386,0.5128921929653492,0.13649808178757816,-0.5059684067119025,0.41284900884981346,1.0,-0.154625280724904,-0.002361280011007237
c0,-0.36553813000237495,0.05864415448829137,-0.992326572102414,-0.6202406600059646,-0.9274347294581784,0.9576199903514858,-0.7739426500206141,0.8360084857475064,-0.1546255995905684,1.0,0.9883355236238057
c1,-0.21952151728353259,-0.09406976386322627,-0.9995816561541432,-0.49354630968612867,-0.8596617931920123,0.9903152405225187,-0.8613547895442423,0.9098220227373471,-0.0023616027574015824,0.9883355727756267,1.0
