param_i,param_j,corr,abs_corr
lambda3,c1,-0.9995816468198124,0.9995816468198124
lambda2,BNP,-0.9953406603886042,0.9953406603886042
sigx,amp,-0.9945004942764571,0.9945004942764571
lambda3,c0,-0.9923266120082128,0.9923266120082128
logx0,c1,0.9903152853317468,0.9903152853317468
c0,c1,0.9883355236238057,0.9883355236238057
lambda3,logx0,-0.9858855701661084,0.9858855701661084
lambda1,BNP,0.9761233951352819,0.9761233951352819
logx0,amp,0.95862775529286,0.95862775529286
logx0,c0,0.9576200833138366,0.9576200833138366
lambda1,lambda4,0.956849010303313,0.956849010303313
lambda1,lambda2,-0.9506311440823029,0.9506311440823029
alpha,c0,-0.9274346087554725,0.9274346087554725
logx0,sigx,-0.9235424662494317,0.9235424662494317
amp,c1,0.9098221566769938,0.9098221566769938
lambda3,amp,-0.8974390153132217,0.8974390153132217
