param_i,param_j,corr,abs_corr
lambda1,lambda2,-0.7770431390557611,0.7770431390557611
axb,c0,-0.6985912023761848,0.6985912023761848
sigx,c0,-0.6855585276915945,0.6855585276915945
lambda1,sigx,0.6650042102297382,0.6650042102297382
axb,c1,-0.6053196871723502,0.6053196871723502
logx0,axb,0.5593955455370228,0.5593955455370228
logx0,bw,0.5319746636041157,0.5319746636041157
sigx,bw,-0.5004932218414248,0.5004932218414248
sigx,c1,-0.46645528571024153,0.46645528571024153
lambda4,logx0,0.4572594785932961,0.4572594785932961
lambda1,c0,-0.45410521392163355,0.45410521392163355
logx0,c1,-0.41429910410167875,0.41429910410167875
