model,label,table_name,n,m,initial_chi2dN_total,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_weighted_chi2dN,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_chi2_vs_initial,delta_absdev_vs_initial,fit_evals,fit_elapsed_s
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-4-4,4,4,3.7227118897135787,1.4520927647541786,1.9582215825381488,0.7695857225909465,3.460110502251511,0.05491491520876931,0.022555100918096937,0.0799704173639072,-0.03697242262164575,-2.2706191249594,-0.00939075900991649,100,8.991395999997621
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-0-2,0,2,0.8351745396054148,0.8350605864059868,1.0146479780688824,0.5928897097696583,1.6389847590011413,0.055044614162897534,0.02018658503273641,0.0871450728254028,-0.03364430838789402,-0.0001139531994279741,2.584575138778189e-05,100,9.196575099995243
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-4-2,4,2,1.3237711200548075,1.0590539390136333,1.1595072144357934,0.9235942191261756,1.654711577033149,0.05513927848514254,0.02119669355539755,0.08485646232436246,-0.03532782259232925,-0.26471718104117414,0.00028749846541481494,100,9.080978600002709
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-0-0,0,0,5.185812219429785,0.9367912771592707,1.1653724833194847,0.6285529840038304,2.5588392502517894,0.05950437425458035,0.01882461893673306,0.10085532980223592,-0.0308116592329669,-4.249020942270514,-0.010498936412134334,100,9.187578199998825
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-4-2,4,2,1.4744055809060117,1.0844361472058046,0.9612556749282325,1.2505431477013185,1.4805787166377509,0.05146360941264142,0.011057953752874387,0.10014392113663939,-0.017849777579605177,-0.3899694337002071,-0.0008008195992189118,100,9.044462799996836
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-2,0,2,0.8355839834647965,0.8355492479419847,0.9006936112178517,0.7477030611002855,1.501819477017249,0.05275449324761432,0.012511164810744354,0.09979721649335922,-0.02031120495203013,-3.47355228117463e-05,-1.1171258879803803e-05,92,8.518807500004186
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-4-4,4,4,3.8670441285089985,1.1604536387757094,1.2580577857249107,1.0288359254654222,2.441436241230499,0.052897330317058205,0.008760012983126475,0.10764783015984147,-0.012803046188552226,-2.706590489733289,-0.008532217502619628,100,9.190192099995329
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-0,0,0,5.501187331017015,0.9726893031479681,1.0096661925348835,0.9228265280656126,2.0713722153743794,0.05303459152523558,0.013150525740506807,0.09839564889336024,-0.021041199188536877,-4.528498027869047,-0.013868703890088749,100,9.346260499994969
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-2,0,2,0.8221627733589244,0.8221519963067323,0.8804801282789398,0.7434973941017856,1.3705369946999544,0.05122175508671043,0.010733843017025927,0.10084546854468494,-0.017640197275359,-1.0777052192101344e-05,1.6013988500956922e-06,100,9.232908200006932
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-0,0,0,5.445004099358362,0.9743059879444385,1.0130135120985,0.9221094781003258,2.023999680570043,0.05126344853352384,0.012545715447078757,0.0957156907960353,-0.02019043113174632,-4.470698111413924,-0.014211268814699238,100,9.190689999988535
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-4-2,4,2,1.4381026008430127,1.0226581332442681,0.9655012069946285,1.0997333822778732,1.3400113883396385,0.051952168067916665,0.009181254947796565,0.10644924452949367,-0.014983399399123224,-0.41544446759874454,0.000952549185642991,100,9.318004200002179
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-4-4,4,4,3.823479862880493,1.245132373500352,1.368005840226361,1.079439365339523,2.6305054296358654,0.053702327765870785,0.008578634996890636,0.1099510611240923,-0.012392277795912343,-2.578347489380141,-0.00622578181112466,100,8.96701779999421
