candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,0,1.0,0.02861,0.028211810837899594,0.986082168399147,0.00017678800864312036,0.00045452888973468095,0.006179238330762683,0.01588706360484729,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,1,3.0,0.05874,0.057940668192794455,0.9863920359685812,0.00030223997088406427,0.000517795072462729,0.005145385953082469,0.008815033579549353,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,2,5.0,0.05834,0.058291379968891735,0.9991666089971157,0.0002784385030846129,0.00028537334947195344,0.004772686031618322,0.004891555527458921,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,3,7.0,0.04972,0.05007201719148561,1.0070799917837008,0.00023892048886606606,0.00032326877899578675,0.004805319566895939,0.006501785579159026,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,4,9.0,0.04106,0.04150509729783199,1.0108401679939598,0.00020646065000382035,0.0003505600449454767,0.005028267170088172,0.008537750729310198,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-00y10.csv,5,11.0,0.03385,0.034299026511096564,1.013265184965925,0.00018081205712009362,0.0003818662216911205,0.0053415674186142875,0.011281129148925274,0.6743176247307652,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-10y20.csv,0,1.0,0.02781,0.02804952698746018,1.0086129804911967,0.00020490729611216872,0.000444001935283071,0.007368115645888842,0.01596554963261672,3.949927340723686,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-10y20.csv,1,3.0,0.05802,0.05712896100807288,0.9846425544307632,0.00033924327554131413,0.0005088797330332987,0.005847005783200864,0.008770764099160612,3.949927340723686,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-10y20.csv,2,5.0,0.05782,0.057221295968106295,0.9896453816690814,0.00030981607446999905,0.000328927124502594,0.005358285618644051,0.005688812253590349,3.949927340723686,6
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,ATLAS_7\ATLAS7-10y20.csv,3,7.0,0.04868,0.04928584808549694,1.0124455235311616,0.0002643520380099234,0.0003317505814833793,0.005430403410228501,0.00681492566728388,3.949927340723686,6
