candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,0,1.0,0.02861,0.028221483084129462,0.9864202406196946,0.00017678800864312036,0.00045452888973468095,0.006179238330762683,0.01588706360484729,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,1,3.0,0.05874,0.05798337666710433,0.987119112480496,0.00030223997088406427,0.000517795072462729,0.005145385953082469,0.008815033579549353,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,2,5.0,0.05834,0.05822971275751605,0.9981095776056916,0.0002784385030846129,0.00028537334947195344,0.004772686031618322,0.004891555527458921,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,3,7.0,0.04972,0.05004137312090249,1.0064636589079343,0.00023892048886606606,0.00032326877899578675,0.004805319566895939,0.006501785579159026,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,4,9.0,0.04106,0.04151899573111517,1.0111786588191713,0.00020646065000382035,0.0003505600449454767,0.005028267170088172,0.008537750729310198,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-00y10.csv,5,11.0,0.03385,0.03432505863923245,1.0140342286331596,0.00018081205712009362,0.0003818662216911205,0.0053415674186142875,0.011281129148925274,0.6605009115767979,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,0,1.0,0.02781,0.02772098591206204,0.9967992057555569,0.00020490729611216872,0.000444001935283071,0.007368115645888842,0.01596554963261672,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,1,3.0,0.05802,0.05708764017284405,0.9839303718173741,0.00033924327554131413,0.0005088797330332987,0.005847005783200864,0.008770764099160612,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,2,5.0,0.05782,0.05727807628619654,0.9906274003147101,0.00030981607446999905,0.000328927124502594,0.005358285618644051,0.005688812253590349,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,3,7.0,0.04868,0.0493780390201838,1.014339338952009,0.0002643520380099234,0.0003317505814833793,0.005430403410228501,0.00681492566728388,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,4,9.0,0.04047,0.04108459052411775,1.0151863237983136,0.00022205855083738614,0.00034103776589640054,0.005486991619406626,0.008426927746389931,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-10y20.csv,5,11.0,0.03381,0.034060668084595846,1.0074140220229473,0.0001952280717519896,0.0003570026202690625,0.005774270090268844,0.01055908371100451,3.334046901665048,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,0,1.0,0.0271,0.028349968586465085,1.0461243020835824,0.0004645869132896449,0.0006732678011859253,0.017143428534673242,0.024843830302063663,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,1,3.0,0.0568,0.0564930123328395,0.9945952875499912,0.0006450186043828503,0.0007532546713607318,0.011355961344768491,0.013261525904238236,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,2,5.0,0.0564,0.055314164878033936,0.9807476042204599,0.0006020373742551205,0.000632828740692015,0.010674421529346109,0.011220367742766224,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,3,7.0,0.0471,0.047317799547662485,1.004624194217887,0.000527175492601847,0.000573751524459231,0.011192685617873607,0.012181561028858406,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,4,9.0,0.0395,0.039203554441027924,0.9924950491399475,0.00045592652916890016,0.0005251690174366579,0.011542443776427852,0.013295418162953366,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_7\ATLAS7-20y24.csv,5,11.0,0.0322,0.03242150021397106,1.0068788886326416,0.00041346100178856046,0.0005013781698317072,0.01284040378225343,0.015570750615891528,1.476372688657399,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,0,1.0,3.257,3.2174456119537354,0.9878555762830012,0.09650837798864874,0.1573377662673549,0.029631064780057947,0.04830757330898216,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,1,3.0,6.708,6.6366472244262695,0.9893630328602071,0.19267263116488548,0.2898168475187069,0.02872281323269014,0.04320465824667664,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,2,5.0,6.714,6.732596397399902,1.0027697940720737,0.1928449680442816,0.2630940564956666,0.02872281323269014,0.03918588866482969,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,3,7.0,5.886,5.843727111816406,0.9928180618104665,0.16906247868761418,0.21583359718205133,0.02872281323269014,0.036668976755360405,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,4,9.0,4.926,4.893166542053223,0.993334661399355,0.14191668358582757,0.17460329512486872,0.028809720581775795,0.03544524870581987,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,5,11.5,3.919,3.914428234100342,0.9988334355959024,0.11256470505891268,0.133771039921517,0.028722813232690145,0.034133972932257464,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,0,1.0,3.219,3.1841418743133545,0.9891711321259257,0.09538239752700704,0.15386723516921105,0.029631064780058107,0.04779970027002518,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,1,3.0,6.676,6.598634243011475,0.9884113605469554,0.1917535011414394,0.28475671432623917,0.028722813232690145,0.04265379184035937,0.8228204941171174,6
