model,rank,test,delta_chi2_total,delta_absdev,delta_shortfall
baseline_unfrozen,1,g2_zero,3828.7685049493857,0.0459616423229694,0.0718850233868135
baseline_unfrozen,2,alpha_is_1,53.70165650860605,-0.0025506245622251,-0.0034735530105415
baseline_unfrozen,3,powerCS_is_1,24.75228534713727,-0.0001910652337838,-0.0013241099544219
baseline_unfrozen,4,b3_zero,15.426803910015588,0.0005718526707235,0.0003574546161908
baseline_unfrozen,5,a4_zero,7.334057279247245,-0.0007603142163089,-0.000890796381008
poly_bstar_cslog,1,lambda3_zero,83.32470204229922,0.0025662800356847,0.0061512260678571
poly_bstar_cslog,2,c1_zero,73.82653357490318,0.0022208005342895,0.0101879349810746
poly_bstar_cslog,3,lambda4_zero,21.5456128958286,0.0003362105641587,0.0019107903324492
poly_bstar_cslog,4,alpha_is_1,2.160828874304201,8.798284298116438e-05,2.833688197415203e-05
poly_bstar_cslog_loggauss,1,c1_zero,99.48868347220458,0.0021317279887834,0.0125324444991784
poly_bstar_cslog_loggauss,2,lambda4_zero,37.1855006221095,0.004542455996445,-0.0022802747030549
poly_bstar_cslog_loggauss,3,bump_off,12.609560136608884,0.0018352857390824,0.0014689823515699
poly_bstar_cslog_loggauss,4,alpha_is_1,10.741058215701296,-0.0001527382913329,0.00084677289979
poly_bstar_cslog_loggauss,5,lambda3_zero,4.031539097742849,0.0002821147800184,0.0004489362031708
