param_i,param_j,corr,abs_corr
BNP,c1,-0.9997534830947817,0.9997534830947817
lambda2,c0,-0.9951565345509558,0.9951565345509558
lambda1,lambda4,0.9747923789888794,0.9747923789888794
lambda1,lambda3,-0.9497333505354697,0.9497333505354697
lambda2,lambda3,-0.8839332068297585,0.8839332068297585
lambda3,lambda4,-0.8559445261509832,0.8559445261509832
lambda3,c0,0.8336844455662039,0.8336844455662039
lambda1,lambda2,0.6931102352382811,0.6931102352382811
BNP,c0,-0.6422098585778704,0.6422098585778704
c0,c1,0.6250327153575471,0.6250327153575471
lambda1,c0,-0.6188929174408447,0.6188929174408447
lambda2,BNP,0.5637477241486698,0.5637477241486698
