param_i,param_j,corr,abs_corr
lambda1,c0,-0.7381386436676587,0.7381386436676587
lambda1,BNP,-0.7273015169701481,0.7273015169701481
lambda1,lambda2,-0.6948678887676442,0.6948678887676442
lambda1,logx0,-0.5564274181727651,0.5564274181727651
logx0,c0,0.5217793852616045,0.5217793852616045
lambda1,lambda4,0.5205869664451965,0.5205869664451965
BNP,c0,0.4923439592550607,0.4923439592550607
lambda2,c0,0.48945385282819304,0.48945385282819304
lambda4,BNP,-0.48615648786324556,0.48615648786324556
lambda1,amp,-0.4300125151931218,0.4300125151931218
lambda2,logx0,0.3869212180428522,0.3869212180428522
amp,c0,0.3852640143632592,0.3852640143632592
