source_dir,candidate,fit_name,np_name,result_path,card_path,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,highE_mean_signed_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,fit_evals,fit_flag,BNP,Bsat,Blog,powerCS,c0,c1,c2,logx0,sigx,amp,Bmu,alpha
poly_bstar0_followup_results,poly_bstar0_cslog2_cspower,PolyBstar0CSLog2CSPower,NP-PolyBstar0CSLog2CSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_bstar0_followup_results\poly_bstar0_cslog2_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstar0CSLog2CSPower.jl,0.7896393993579958,0.9154281365375482,0.6200151931613266,0.055917177272459276,0.018033868353828135,0.01984944056480301,0.09470827229657786,-0.030056447256380223,8449,0,,0.30953320803590484,,0.4339051665416361,0.03802356993073047,0.05648357669713484,0.08663277277208481,,,,,
poly_cs_pivot_followup_results,poly_bstar_bmu_cslog_cspower_blog,PolyBstarBmuCSLogCSPowerBlog,NP-PolyBstarBmuCSLogCSPowerBlog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_pivot_followup_results\poly_bstar_bmu_cslog_cspower_blog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarBmuCSLogCSPowerBlog.jl,0.7943431077030051,0.9309811533601197,0.6100887734078048,0.056230929943359,0.013331378210474224,0.029568173522410552,0.10652724976265993,-0.02173787730442236,7940,0,,1.157098759981272,1.036343460827017,0.6636002410200839,0.05405510326078214,0.025603226334549874,,,,,0.9924288992849193,0.0
poly_cs_pivot_followup_results,poly_bstar_bmu_cslog_cspower,PolyBstarBmuCSLogCSPower,NP-PolyBstarBmuCSLogCSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_pivot_followup_results\poly_bstar_bmu_cslog_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarBmuCSLogCSPower.jl,0.7945593920958406,0.9316319097527498,0.6097191788918257,0.05646806044154351,0.013808192468056823,0.028851675505429865,0.10593046692601138,-0.022534185441624482,7947,0,,1.4451844555818054,,0.5874228493576958,0.06417092305198475,0.02445944801897112,,,,,0.9335902453151426,3.151330993090338e-09
poly_cs_power_followup_results,poly_bstar_cslog2_cspower,PolyBstarCSLog2CSPower,NP-PolyBstarCSLog2CSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_power_followup_results\poly_bstar_cslog2_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarCSLog2CSPower.jl,0.7960240081042294,0.9111994142754483,0.6407117179642519,0.05251735224287562,0.015242103749675067,0.02203314474352549,0.09318768951805667,-0.025403218439495296,7472,0,0.4374016815042962,,,0.4486586788285387,0.06265858951031411,0.06038910147083792,0.04332764919230188,,,,,0.0
poly_bstar0_followup_results,poly_bstar0_cslog_cspower,PolyBstar0CSLogCSPower,NP-PolyBstar0CSLogCSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_bstar0_followup_results\poly_bstar0_cslog_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstar0CSLogCSPower.jl,0.7977315168813928,0.9274029127406449,0.6228716042833098,0.05674302908821571,0.013341556010234797,0.03005991706774612,0.10782555368533464,-0.021783840677312896,8404,0,,1.1538859090793132,,0.6803076826020453,0.05113505899637375,0.025749515054140113,,,,,,
poly_cs_pivot_followup_results,poly_bstar_cslog_cspower_blog,PolyBstarCSLogCSPowerBlog,NP-PolyBstarCSLogCSPowerBlog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_pivot_followup_results\poly_bstar_cslog_cspower_blog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarCSLogCSPowerBlog.jl,0.7978766631150048,0.9271316950164532,0.6235782110054758,0.05726860328429635,0.013626649254524075,0.030015304775248202,0.10847190195204832,-0.02228909334261855,7894,0,,1.3237074638519495,0.674011257248038,0.6664719542650105,0.03474986085898715,0.025730908126172507,,,,,,0.0
bernstein_shape_followup_results,bern2_sqrtx_bstar_cslog,Bern2SqrtXBstarCSLog,NP-Bern2SqrtXBstarCSLog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\bernstein_shape_followup_results\bern2_sqrtx_bstar_cslog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Bern2SqrtXBstarCSLog.jl,0.8031251629869516,0.9255905152979265,0.637982490931243,0.05737027863034364,0.0135907621618275,0.030188754306688645,0.10892830582349748,-0.02230428003785058,7846,0,3.809137255107671,,,,0.07314195621278435,0.025939259306592116,,,,,,9.958822010415378e-06
poly_cs_power_followup_results,poly_bstar_cslog_cspower,PolyBstarCSLogCSPower,NP-PolyBstarCSLogCSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_power_followup_results\poly_bstar_cslog_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarCSLogCSPower.jl,0.8039277331848572,0.9190418907304757,0.6486980358884924,0.05247326879829021,0.01244682229183655,0.027579624214617113,0.09935504519983696,-0.020270656442196118,7420,0,0.8153632098071958,,,0.6476174173487403,0.06390849414177958,0.022088055469604347,,,,,,0.0
bernstein_shape_followup_results,bern2_x_bstar_cslog,Bern2XBstarCSLog,NP-Bern2XBstarCSLog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\bernstein_shape_followup_results\bern2_x_bstar_cslog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Bern2XBstarCSLog.jl,0.8048164888664202,0.9309060686014955,0.6347866010418488,0.05833959466848382,0.014158536464258383,0.030022521739967053,0.10994282519800906,-0.023257680565394283,7827,0,3.8744664965372193,,,,0.07303397108156988,0.02587816790011587,,,,,,0.0
art23_family_refine_results,art17m2_art23cslog_refine,Art23RefineART17M2CSLog,NP-Art23RefineART17M2CSLog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\art23_family_refine_results\art17m2_art23cslog_refine.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Art23RefineART17M2CSLog.jl,0.8172264766577622,0.9119445460039907,0.6895005952666362,0.05368953570311201,0.014366222406227137,0.02495709089065774,0.09764116253755754,-0.023498956873942125,4551,0,1.9502535829101544,,,,0.07946551391853687,0.016921425573785124,,,,,,
