replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
0,1,1,1592,1.7750597,-0.031442859,1.0887642,-2.3599292,-5.4084332,1.3714444,-0.68245924,1.4616883,0.064332729,0.033293184
1,2,1,1582,1.8283882,0.014120466,1.0392184,-2.6756584,-5.55166,1.126039,-0.94776604,1.6006475,0.072323855,0.019570515
2,3,1,1581,1.9956637,0.0014200638,1.1662542,-2.7770187,-5.3821957,1.2203044,-0.56119616,1.5476081,0.064439259,0.027692369
3,4,1,1590,1.731992,-0.040958283,0.84937747,-1.7302981,-5.3368443,1.1277217,-0.46225355,1.2157659,0.072271408,0.047870602
4,5,1,1524,2.0548475,0.019749126,1.0223896,-2.2102319,-4.9575438,1.1252495,-0.37439102,1.3853223,0.075135896,0.037196983
5,6,1,1488,1.9882818,0.035564881,1.0847162,-2.307265,-5.1142131,0.98070687,-0.28174548,1.4557912,0.066767567,0.029333226
6,7,1,1542,1.8710378,0.044673541,1.1258543,-2.6566554,-5.0912912,1.0365304,-0.46483089,1.6054682,0.07015494,0.025623029
7,8,1,1544,1.7621846,0.02258075,0.91274054,-1.8212957,-5.1882792,1.021252,-0.32777043,1.2896366,0.074687104,0.032765939
8,9,1,1596,1.893717,0.0034890854,1.0296236,-2.3473296,-5.0616286,1.090283,-0.42531209,1.6380129,0.063678563,0.021076609
9,10,1,1559,1.8657167,0.031616294,1.2010003,-2.7110187,-5.2377251,1.1308349,-0.48361855,1.6389493,0.065685958,0.027404331
10,11,0,1602,2.1103583,0.048540743,0.89598288,-1.8659297,-5.2629415,0.90030769,-0.28413231,1.8582211,0.064031413,0.0053554217
11,12,1,1591,1.8591551,0.066172385,1.2231024,-2.6380902,-5.1174247,0.91008354,-0.43930666,1.6887322,0.063345495,0.0180305
12,13,1,1525,2.0530675,0.093945285,1.4986673,-3.8916265,-5.2314138,1.1885046,-0.59593085,1.6711457,0.06828984,0.024578387
13,14,1,1564,2.0177257,0.045649087,1.1964555,-2.5019656,-5.1163107,1.3150377,-0.47936587,1.3778876,0.072588361,0.036521029
